GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",3930,527
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",4388,477
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",5961,471
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",6470,503
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",1254,201
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",5148,434
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",5545,487
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",3795,397
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",6167,599
1400000US08001008401,08001008401,"Census Tract 84.01, Adams County, Colorado",4240,343
1400000US08001008402,08001008402,"Census Tract 84.02, Adams County, Colorado",4839,318
1400000US08001008505,08001008505,"Census Tract 85.05, Adams County, Colorado",6989,646
1400000US08001008506,08001008506,"Census Tract 85.06, Adams County, Colorado",6022,481
1400000US08001008507,08001008507,"Census Tract 85.07, Adams County, Colorado",7215,649
1400000US08001008508,08001008508,"Census Tract 85.08, Adams County, Colorado",5725,548
1400000US08001008523,08001008523,"Census Tract 85.23, Adams County, Colorado",7017,550
1400000US08001008524,08001008524,"Census Tract 85.24, Adams County, Colorado",7815,411
1400000US08001008526,08001008526,"Census Tract 85.26, Adams County, Colorado",7199,417
1400000US08001008529,08001008529,"Census Tract 85.29, Adams County, Colorado",7433,628
1400000US08001008533,08001008533,"Census Tract 85.33, Adams County, Colorado",7790,605
1400000US08001008534,08001008534,"Census Tract 85.34, Adams County, Colorado",4733,274
1400000US08001008535,08001008535,"Census Tract 85.35, Adams County, Colorado",3553,587
1400000US08001008536,08001008536,"Census Tract 85.36, Adams County, Colorado",2648,224
1400000US08001008537,08001008537,"Census Tract 85.37, Adams County, Colorado",6420,426
1400000US08001008538,08001008538,"Census Tract 85.38, Adams County, Colorado",6252,328
1400000US08001008539,08001008539,"Census Tract 85.39, Adams County, Colorado",9265,676
1400000US08001008540,08001008540,"Census Tract 85.40, Adams County, Colorado",6977,553
1400000US08001008541,08001008541,"Census Tract 85.41, Adams County, Colorado",4641,381
1400000US08001008542,08001008542,"Census Tract 85.42, Adams County, Colorado",7358,586
1400000US08001008543,08001008543,"Census Tract 85.43, Adams County, Colorado",8262,529
1400000US08001008544,08001008544,"Census Tract 85.44, Adams County, Colorado",4515,322
1400000US08001008545,08001008545,"Census Tract 85.45, Adams County, Colorado",7296,434
1400000US08001008546,08001008546,"Census Tract 85.46, Adams County, Colorado",2956,248
1400000US08001008547,08001008547,"Census Tract 85.47, Adams County, Colorado",4021,457
1400000US08001008548,08001008548,"Census Tract 85.48, Adams County, Colorado",1488,129
1400000US08001008549,08001008549,"Census Tract 85.49, Adams County, Colorado",4437,320
1400000US08001008550,08001008550,"Census Tract 85.50, Adams County, Colorado",7932,581
1400000US08001008551,08001008551,"Census Tract 85.51, Adams County, Colorado",1400,197
1400000US08001008603,08001008603,"Census Tract 86.03, Adams County, Colorado",2219,322
1400000US08001008604,08001008604,"Census Tract 86.04, Adams County, Colorado",5160,484
1400000US08001008605,08001008605,"Census Tract 86.05, Adams County, Colorado",3638,295
