GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",1175,94,22184,4889,49.9,9.4,26296,7747,20.9,8.0,12625,4891,0.6,1.5,-,**,16.5,6.1,27134,5297,0.0,2.5,-,**,10.3,5.0,48304,22796,1.9,2.3,(X),(X),45.1,9.5,26852,6583,15.1,5.3,31172,18768,8.4,4.6,(X),(X),45.1,8.4,(X),(X),37.8,7.6,(X),(X),8.7,4.4,(X),(X),689,114,28177,2571,77.2,7.7,25919,2821,22.8,7.7,44485,28456,52.1,10.7,(X),(X),39.0,10.8,(X),(X),8.9,7.3,(X),(X),486,123,15753,2962,28.0,13.4,20172,10244,18.7,12.1,13313,11482,9.3,6.0,48702,17047,72.0,13.4,15526,2021,54.9,13.4,15181,2167,17.1,11.7,21382,17099,29.4,(X),(X),(X),31.2,(X),(X),(X),26.7,(X),(X),(X)
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",1249,101,23531,3904,50.6,8.0,26604,7764,28.3,6.8,19464,8765,0.6,1.0,-,**,3.8,3.3,(X),(X),0.0,2.4,-,**,13.1,6.0,26154,16218,3.5,2.7,35250,11933,46.8,7.5,26778,8320,16.6,5.9,27440,21828,7.4,4.5,(X),(X),58.0,8.3,(X),(X),27.2,7.0,(X),(X),7.4,2.3,(X),(X),880,106,20926,3810,80.1,6.7,19432,3915,19.9,6.7,31188,11251,49.5,9.2,(X),(X),41.4,8.9,(X),(X),9.1,6.2,(X),(X),369,103,22614,8035,25.5,11.4,14537,9468,25.5,11.4,14537,9468,0.0,7.8,-,**,74.5,11.4,25750,10643,49.3,14.4,19539,8197,25.2,14.9,41544,19015,26.1,(X),(X),(X),26.7,(X),(X),(X),24.7,(X),(X),(X)
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",1748,88,35229,3453,53.9,5.7,37358,6371,15.7,4.0,20357,16379,2.9,2.7,11838,6053,2.6,2.3,(X),(X),0.0,1.7,-,**,17.5,5.0,40625,8954,7.4,3.4,35208,15582,48.2,5.4,35077,4003,27.0,4.5,46379,7992,8.0,3.5,40982,16707,51.7,6.8,32987,7771,32.6,6.7,36731,5532,7.8,2.8,43409,25960,1112,132,36471,1985,58.1,7.8,28143,7432,41.9,7.8,42619,9420,58.2,7.5,41350,7535,28.1,6.0,22321,19584,13.8,6.5,36094,19139,636,116,22639,7830,28.5,9.7,(X),(X),25.0,9.7,(X),(X),3.5,3.1,(X),(X),71.5,9.7,(X),(X),41.5,11.1,(X),(X),30.0,11.4,(X),(X),27.3,(X),(X),(X),26.5,(X),(X),(X),28.8,(X),(X),(X)
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",1761,75,48288,5845,58.0,6.1,52128,10520,21.4,5.1,35298,13971,1.2,1.3,-,**,2.8,2.5,(X),(X),0.0,1.7,-,**,12.6,5.2,42424,23112,4.0,2.7,(X),(X),35.8,5.2,49615,17207,37.1,5.5,52614,13067,3.6,2.6,(X),(X),36.4,5.8,(X),(X),42.1,6.3,(X),(X),17.9,3.9,(X),(X),1170,132,50833,4448,49.7,6.5,43375,3600,50.3,6.5,58565,11657,60.0,10.9,(X),(X),14.4,6.9,(X),(X),25.6,9.4,(X),(X),591,121,35655,12057,41.1,10.8,(X),(X),35.0,12.2,(X),(X),6.1,6.1,(X),(X),58.9,10.8,(X),(X),45.5,10.4,(X),(X),13.4,8.4,(X),(X),29.8,(X),(X),(X),24.2,(X),(X),(X),38.4,(X),(X),(X)
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",596,46,24706,12289,80.5,7.5,25000,15894,2.5,3.1,-,**,0.0,4.9,-,**,7.2,4.3,(X),(X),0.0,4.9,-,**,3.9,3.5,-,**,5.9,5.4,"2,500-",***,15.1,6.2,35781,26440,69.3,8.4,24875,14755,17.3,8.4,(X),(X),65.3,9.1,(X),(X),10.4,5.9,(X),(X),7.0,4.8,(X),(X),115,44,50938,22396,20.9,16.9,(X),(X),79.1,16.9,(X),(X),78.3,14.8,(X),(X),11.3,12.1,(X),(X),10.4,11.4,(X),(X),481,58,15375,13410,57.4,12.1,(X),(X),42.0,13.4,(X),(X),15.4,9.9,(X),(X),42.6,12.1,(X),(X),30.4,10.6,(X),(X),12.3,7.1,(X),(X),16.1,(X),(X),(X),31.3,(X),(X),(X),11.0,(X),(X),(X)
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",1444,73,47029,5179,71.6,6.7,46385,4154,14.8,3.9,59583,31358,1.7,2.8,-,**,2.4,2.7,41136,24802,0.8,1.2,-,**,3.1,2.6,(X),(X),5.7,4.1,(X),(X),22.7,4.9,64632,17239,53.2,5.9,44138,4980,1.0,1.2,-,**,32.4,8.6,54750,21147,40.3,8.9,54000,14570,26.2,3.9,42841,9530,1045,103,52033,9408,41.1,9.7,52419,18026,58.9,9.7,51803,10054,64.4,9.6,66420,17445,26.3,8.4,40460,10934,9.3,4.9,60347,19318,399,99,35039,7198,56.4,14.3,24938,11761,53.4,14.8,24188,9049,3.0,4.3,-,**,43.6,14.3,44688,15570,23.1,12.6,31750,16936,20.6,12.6,105583,79796,29.1,(X),(X),(X),30.0,(X),(X),(X),23.1,(X),(X),(X)
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",1793,98,30054,6555,63.1,7.3,34438,6622,18.7,4.0,17135,3790,0.9,1.1,-,**,4.6,3.5,(X),(X),0.0,1.7,-,**,7.3,3.8,45110,30666,5.4,4.5,(X),(X),33.7,6.0,30815,15649,40.8,6.5,37188,7196,4.0,2.7,(X),(X),36.0,6.9,(X),(X),39.3,7.0,(X),(X),20.8,5.0,(X),(X),1151,141,36169,11035,51.2,8.3,24239,3652,48.8,8.3,47317,12158,61.0,9.9,39179,5368,22.7,8.2,23354,6547,16.3,7.2,46250,30139,642,130,21875,7189,47.0,12.4,(X),(X),42.1,12.8,(X),(X),5.0,6.2,(X),(X),53.0,12.4,(X),(X),50.6,12.4,(X),(X),2.3,2.5,(X),(X),34.2,(X),(X),(X),38.1,(X),(X),(X),26.6,(X),(X),(X)
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",1079,63,45268,12522,62.9,10.0,41910,5898,13.4,6.4,66534,11108,0.0,2.7,-,**,2.4,2.4,53750,12535,2.4,2.8,-,**,18.8,7.3,52560,32116,0.0,2.7,-,**,50.2,10.1,40294,10222,33.5,9.3,44091,10269,4.4,4.5,(X),(X),51.3,8.7,(X),(X),32.8,8.3,(X),(X),11.6,3.4,(X),(X),825,93,42083,13059,68.5,9.6,42560,15768,31.5,9.6,41837,15169,61.0,10.0,(X),(X),31.0,9.6,(X),(X),8.0,5.4,(X),(X),254,91,40833,13420,56.3,19.9,(X),(X),40.6,17.5,(X),(X),15.7,14.6,(X),(X),43.7,19.9,(X),(X),28.0,17.3,(X),(X),15.7,13.0,(X),(X),29.0,(X),(X),(X),25.9,(X),(X),(X),39.0,(X),(X),(X)
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",2125,117,56734,6259,77.6,5.4,54826,6717,11.8,4.2,76250,32303,0.8,1.2,-,**,3.4,2.5,85156,16809,0.0,1.4,-,**,4.0,3.1,60652,5425,2.5,2.9,-,**,22.7,4.9,55990,10286,59.5,6.0,55820,8292,5.2,3.5,23438,2679,32.4,5.5,57358,8728,54.1,6.1,71354,18325,8.4,4.1,53125,18642,1387,165,62415,9490,44.2,10.4,61211,14253,55.8,10.4,69063,22058,66.0,9.5,(X),(X),28.0,9.7,(X),(X),6.1,4.9,(X),(X),738,160,52531,2846,63.6,12.1,(X),(X),60.0,13.0,(X),(X),3.5,4.0,(X),(X),36.4,12.1,(X),(X),22.4,9.6,(X),(X),14.1,9.0,(X),(X),38.2,(X),(X),(X),39.4,(X),(X),(X),29.9,(X),(X),(X)
