GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",3930,527,1894,472,487,191,24,31,1024,372,0,11,473,276,28,29,0,11,28,29
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",4388,477,2248,493,964,318,32,30,155,148,0,11,653,309,336,240,294,233,42,35
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",5961,471,3159,493,884,288,131,113,176,139,0,16,1168,397,443,194,169,106,274,148
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",6470,503,3685,464,1224,397,101,114,171,192,0,16,1134,520,155,91,64,47,91,70
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",1254,201,1005,183,45,46,0,11,108,89,0,11,46,42,50,41,0,11,50,41
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",5148,434,3380,449,968,220,254,345,135,172,22,35,83,74,306,192,0,16,306,192
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",5545,487,3081,489,1249,297,109,135,383,300,0,16,461,267,262,208,176,199,86,59
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",3795,397,2032,475,584,274,3,8,31,31,26,30,1041,449,78,64,0,11,78,64
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",6167,599,4432,525,854,354,27,31,173,131,0,16,374,304,307,207,150,155,157,127
1400000US08001008401,08001008401,"Census Tract 84.01, Adams County, Colorado",4240,343,3903,385,20,18,60,56,51,39,0,11,141,128,65,45,32,36,33,27
1400000US08001008402,08001008402,"Census Tract 84.02, Adams County, Colorado",4839,318,4540,378,0,11,40,61,21,35,0,11,155,141,83,82,0,11,83,82
1400000US08001008505,08001008505,"Census Tract 85.05, Adams County, Colorado",6989,646,6190,699,125,121,61,76,346,313,0,16,201,176,66,66,12,21,54,64
1400000US08001008506,08001008506,"Census Tract 85.06, Adams County, Colorado",6022,481,5565,562,115,105,8,12,90,61,0,16,167,173,77,74,0,16,77,74
1400000US08001008507,08001008507,"Census Tract 85.07, Adams County, Colorado",7215,649,5920,804,58,58,11,17,67,84,0,16,600,455,559,418,147,155,412,388
1400000US08001008508,08001008508,"Census Tract 85.08, Adams County, Colorado",5725,548,4873,666,276,302,45,45,374,274,0,16,95,59,62,74,0,16,62,74
1400000US08001008523,08001008523,"Census Tract 85.23, Adams County, Colorado",7017,550,6368,606,279,356,59,84,0,16,0,16,206,204,105,77,0,16,105,77
1400000US08001008524,08001008524,"Census Tract 85.24, Adams County, Colorado",7815,411,6820,445,132,135,25,29,401,185,0,16,126,118,311,176,29,34,282,172
1400000US08001008526,08001008526,"Census Tract 85.26, Adams County, Colorado",7199,417,6203,482,185,159,13,21,463,281,0,16,237,258,98,89,0,16,98,89
1400000US08001008529,08001008529,"Census Tract 85.29, Adams County, Colorado",7433,628,6363,621,121,111,64,81,454,400,0,16,235,193,196,198,16,29,180,191
1400000US08001008533,08001008533,"Census Tract 85.33, Adams County, Colorado",7790,605,7062,593,100,88,45,51,38,46,0,16,274,185,271,164,74,90,197,142
1400000US08001008534,08001008534,"Census Tract 85.34, Adams County, Colorado",4733,274,4206,373,6,10,30,37,117,119,0,11,27,34,347,166,69,79,278,139
1400000US08001008535,08001008535,"Census Tract 85.35, Adams County, Colorado",3553,587,3168,578,26,26,63,80,147,161,0,11,41,94,108,71,0,11,108,71
1400000US08001008536,08001008536,"Census Tract 85.36, Adams County, Colorado",2648,224,2305,224,15,15,7,12,173,167,0,11,73,76,75,46,8,12,67,42
1400000US08001008537,08001008537,"Census Tract 85.37, Adams County, Colorado",6420,426,5703,376,60,58,44,60,146,109,0,16,151,125,316,231,21,23,295,229
1400000US08001008538,08001008538,"Census Tract 85.38, Adams County, Colorado",6252,328,5010,423,346,193,20,31,209,175,0,16,264,137,403,221,82,70,321,214
1400000US08001008539,08001008539,"Census Tract 85.39, Adams County, Colorado",9265,676,7290,720,674,190,0,16,243,273,210,181,136,154,712,408,50,96,662,380
1400000US08001008540,08001008540,"Census Tract 85.40, Adams County, Colorado",6977,553,5948,598,218,288,35,37,391,269,0,16,173,153,212,165,96,114,116,119
1400000US08001008541,08001008541,"Census Tract 85.41, Adams County, Colorado",4641,381,4184,373,53,51,0,11,146,97,0,11,85,76,173,125,68,105,105,88
1400000US08001008542,08001008542,"Census Tract 85.42, Adams County, Colorado",7358,586,6239,685,314,291,0,16,256,260,114,149,146,135,289,181,34,54,255,177
1400000US08001008543,08001008543,"Census Tract 85.43, Adams County, Colorado",8262,529,7557,640,38,47,25,33,96,110,15,24,314,242,217,168,60,81,157,131
1400000US08001008544,08001008544,"Census Tract 85.44, Adams County, Colorado",4515,322,3899,347,44,54,16,19,450,143,0,11,34,32,72,64,25,28,47,57
1400000US08001008545,08001008545,"Census Tract 85.45, Adams County, Colorado",7296,434,6132,518,152,151,73,84,469,201,0,16,115,126,355,198,84,106,271,166
1400000US08001008546,08001008546,"Census Tract 85.46, Adams County, Colorado",2956,248,2643,278,0,11,0,11,134,99,0,11,118,97,61,48,0,11,61,48
1400000US08001008547,08001008547,"Census Tract 85.47, Adams County, Colorado",4021,457,3817,469,0,11,56,74,69,67,0,11,39,49,40,40,0,11,40,40
1400000US08001008548,08001008548,"Census Tract 85.48, Adams County, Colorado",1488,129,1363,139,18,31,0,11,34,34,6,9,47,46,20,18,20,18,0,11
1400000US08001008549,08001008549,"Census Tract 85.49, Adams County, Colorado",4437,320,3905,369,23,38,142,146,114,118,0,11,88,83,165,112,25,22,140,111
1400000US08001008550,08001008550,"Census Tract 85.50, Adams County, Colorado",7932,581,6610,610,82,79,19,23,696,332,0,16,175,169,350,221,50,60,300,198
1400000US08001008551,08001008551,"Census Tract 85.51, Adams County, Colorado",1400,197,1173,230,37,38,0,11,111,125,0,11,0,11,79,96,0,11,79,96
1400000US08001008603,08001008603,"Census Tract 86.03, Adams County, Colorado",2219,322,1967,349,24,43,13,24,16,18,0,11,175,133,24,21,18,19,6,10
1400000US08001008604,08001008604,"Census Tract 86.04, Adams County, Colorado",5160,484,4264,508,231,68,86,66,21,29,0,16,301,152,257,117,82,90,175,83
1400000US08001008605,08001008605,"Census Tract 86.05, Adams County, Colorado",3638,295,3345,294,0,11,10,16,99,69,0,11,34,54,150,91,92,77,58,77
1400000US08001008606,08001008606,"Census Tract 86.06, Adams County, Colorado",6745,708,5755,716,2,4,49,50,130,148,0,16,602,324,207,241,207,241,0,16
1400000US08001008705,08001008705,"Census Tract 87.05, Adams County, Colorado",5217,471,4533,511,94,98,94,106,9,12,0,16,333,235,154,142,103,133,51,49
1400000US08001008706,08001008706,"Census Tract 87.06, Adams County, Colorado",5245,609,4583,614,134,190,0,16,5,10,0,16,463,190,60,47,24,28,36,32
1400000US08001008709,08001008709,"Census Tract 87.09, Adams County, Colorado",8642,1073,6825,1193,470,400,190,151,23,40,0,16,969,829,165,186,9,15,156,185
1400000US08001008801,08001008801,"Census Tract 88.01, Adams County, Colorado",5650,558,5000,638,123,102,40,37,0,16,0,16,420,212,67,56,49,51,18,19
1400000US08001008802,08001008802,"Census Tract 88.02, Adams County, Colorado",4617,398,3844,442,129,88,54,49,48,45,0,11,332,199,210,176,40,38,170,171
1400000US08001008901,08001008901,"Census Tract 89.01, Adams County, Colorado",2354,235,2040,266,160,84,61,45,6,9,0,11,49,44,38,40,9,15,29,37
1400000US08001009001,08001009001,"Census Tract 90.01, Adams County, Colorado",4776,368,3611,414,218,197,29,25,117,95,0,11,490,265,311,165,26,41,285,157
1400000US08001009002,08001009002,"Census Tract 90.02, Adams County, Colorado",9920,853,8233,832,164,123,207,240,72,65,0,16,642,553,602,319,87,89,515,310
1400000US08001009101,08001009101,"Census Tract 91.01, Adams County, Colorado",4652,282,4304,311,54,60,71,79,0,11,0,11,108,69,115,106,10,16,105,105
1400000US08001009103,08001009103,"Census Tract 91.03, Adams County, Colorado",3433,426,3084,456,0,11,29,36,22,36,0,11,185,151,113,146,105,146,8,13
1400000US08001009104,08001009104,"Census Tract 91.04, Adams County, Colorado",5922,476,5116,530,119,136,99,80,123,71,45,47,237,160,183,125,15,17,168,119
1400000US08001009202,08001009202,"Census Tract 92.02, Adams County, Colorado",4592,514,3989,538,56,67,134,127,46,29,0,11,189,105,178,103,10,16,168,105
1400000US08001009203,08001009203,"Census Tract 92.03, Adams County, Colorado",3809,305,3046,317,60,40,42,43,204,155,0,11,282,135,175,112,0,11,175,112
1400000US08001009204,08001009204,"Census Tract 92.04, Adams County, Colorado",7168,612,5433,607,244,234,247,379,642,170,24,42,330,262,248,168,0,16,248,168
1400000US08001009206,08001009206,"Census Tract 92.06, Adams County, Colorado",2135,216,1656,227,0,11,6,9,233,164,8,14,66,54,166,128,0,11,166,128
1400000US08001009207,08001009207,"Census Tract 92.07, Adams County, Colorado",4316,449,3524,473,41,49,41,55,247,189,0,11,402,182,61,60,17,27,44,56
1400000US08001009304,08001009304,"Census Tract 93.04, Adams County, Colorado",6756,667,5453,876,9,15,20,36,243,199,0,16,838,848,193,174,16,26,177,172
1400000US08001009306,08001009306,"Census Tract 93.06, Adams County, Colorado",3807,358,3293,379,0,11,0,11,37,48,15,25,304,257,158,108,48,63,110,98
1400000US08001009307,08001009307,"Census Tract 93.07, Adams County, Colorado",4157,394,3669,407,43,55,101,120,75,85,0,11,107,69,162,118,51,60,111,112
1400000US08001009308,08001009308,"Census Tract 93.08, Adams County, Colorado",4644,563,3835,487,0,11,177,247,0,11,0,11,427,262,205,172,139,136,66,62
1400000US08001009309,08001009309,"Census Tract 93.09, Adams County, Colorado",3663,339,2704,388,34,29,23,31,749,311,0,11,85,65,68,90,50,85,18,24
1400000US08001009310,08001009310,"Census Tract 93.10, Adams County, Colorado",5917,526,5280,504,52,62,97,143,116,98,0,16,364,232,8,13,8,13,0,16
1400000US08001009316,08001009316,"Census Tract 93.16, Adams County, Colorado",6901,611,6022,604,5,19,184,211,45,93,0,16,448,295,197,178,18,37,179,170
1400000US08001009318,08001009318,"Census Tract 93.18, Adams County, Colorado",6465,847,5491,864,87,96,42,69,208,223,0,16,600,370,37,54,0,16,37,54
1400000US08001009319,08001009319,"Census Tract 93.19, Adams County, Colorado",2669,327,2480,342,20,21,15,25,27,29,0,11,107,89,20,22,6,9,14,19
1400000US08001009320,08001009320,"Census Tract 93.20, Adams County, Colorado",2819,319,2416,338,49,45,22,36,80,93,0,11,130,93,122,85,30,41,92,80
1400000US08001009321,08001009321,"Census Tract 93.21, Adams County, Colorado",3740,403,2980,420,90,95,65,64,325,166,0,11,124,111,156,112,51,50,105,87
1400000US08001009322,08001009322,"Census Tract 93.22, Adams County, Colorado",4294,415,3776,475,15,17,6,11,118,84,0,11,349,201,30,44,0,11,30,44
1400000US08001009323,08001009323,"Census Tract 93.23, Adams County, Colorado",3935,376,3498,382,116,87,86,96,140,142,23,35,42,61,30,37,0,11,30,37
1400000US08001009325,08001009325,"Census Tract 93.25, Adams County, Colorado",5016,450,4386,483,168,164,0,16,195,103,0,16,17,29,250,201,0,16,250,201
1400000US08001009326,08001009326,"Census Tract 93.26, Adams County, Colorado",2552,169,2123,220,134,126,0,11,164,94,20,36,24,40,87,55,9,15,78,52
1400000US08001009327,08001009327,"Census Tract 93.27, Adams County, Colorado",3886,411,3273,384,44,54,8,13,270,180,0,11,96,88,195,144,12,19,183,142
1400000US08001009401,08001009401,"Census Tract 94.01, Adams County, Colorado",5292,334,4209,379,42,30,23,26,477,188,8,13,470,362,63,56,7,13,56,54
1400000US08001009406,08001009406,"Census Tract 94.06, Adams County, Colorado",4635,365,3781,412,160,141,49,47,309,187,0,11,142,107,194,105,56,47,138,96
1400000US08001009407,08001009407,"Census Tract 94.07, Adams County, Colorado",5691,524,4336,664,45,55,366,379,320,144,25,32,264,174,335,186,144,124,191,155
