GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Total: - $1 to $9,999 or loss"
HD02_VD03,"Margin of Error; Total: - $1 to $9,999 or loss"
HD01_VD04,"Estimate; Total: - $10,000 to $14,999"
HD02_VD04,"Margin of Error; Total: - $10,000 to $14,999"
HD01_VD05,"Estimate; Total: - $15,000 to $24,999"
HD02_VD05,"Margin of Error; Total: - $15,000 to $24,999"
HD01_VD06,"Estimate; Total: - $25,000 to $34,999"
HD02_VD06,"Margin of Error; Total: - $25,000 to $34,999"
HD01_VD07,"Estimate; Total: - $35,000 to $49,999"
HD02_VD07,"Margin of Error; Total: - $35,000 to $49,999"
HD01_VD08,"Estimate; Total: - $50,000 to $64,999"
HD02_VD08,"Margin of Error; Total: - $50,000 to $64,999"
HD01_VD09,"Estimate; Total: - $65,000 to $74,999"
HD02_VD09,"Margin of Error; Total: - $65,000 to $74,999"
HD01_VD10,"Estimate; Total: - $75,000 or more"
HD02_VD10,"Margin of Error; Total: - $75,000 or more"
HD01_VD11,"Estimate; Total: - Car, truck, or van - drove alone:"
HD02_VD11,"Margin of Error; Total: - Car, truck, or van - drove alone:"
HD01_VD12,"Estimate; Total: - Car, truck, or van - drove alone: - $1 to $9,999 or loss"
HD02_VD12,"Margin of Error; Total: - Car, truck, or van - drove alone: - $1 to $9,999 or loss"
HD01_VD13,"Estimate; Total: - Car, truck, or van - drove alone: - $10,000 to $14,999"
HD02_VD13,"Margin of Error; Total: - Car, truck, or van - drove alone: - $10,000 to $14,999"
HD01_VD14,"Estimate; Total: - Car, truck, or van - drove alone: - $15,000 to $24,999"
HD02_VD14,"Margin of Error; Total: - Car, truck, or van - drove alone: - $15,000 to $24,999"
HD01_VD15,"Estimate; Total: - Car, truck, or van - drove alone: - $25,000 to $34,999"
HD02_VD15,"Margin of Error; Total: - Car, truck, or van - drove alone: - $25,000 to $34,999"
HD01_VD16,"Estimate; Total: - Car, truck, or van - drove alone: - $35,000 to $49,999"
HD02_VD16,"Margin of Error; Total: - Car, truck, or van - drove alone: - $35,000 to $49,999"
HD01_VD17,"Estimate; Total: - Car, truck, or van - drove alone: - $50,000 to $64,999"
HD02_VD17,"Margin of Error; Total: - Car, truck, or van - drove alone: - $50,000 to $64,999"
HD01_VD18,"Estimate; Total: - Car, truck, or van - drove alone: - $65,000 to $74,999"
HD02_VD18,"Margin of Error; Total: - Car, truck, or van - drove alone: - $65,000 to $74,999"
HD01_VD19,"Estimate; Total: - Car, truck, or van - drove alone: - $75,000 or more"
HD02_VD19,"Margin of Error; Total: - Car, truck, or van - drove alone: - $75,000 or more"
HD01_VD20,"Estimate; Total: - Car, truck, or van - carpooled:"
HD02_VD20,"Margin of Error; Total: - Car, truck, or van - carpooled:"
HD01_VD21,"Estimate; Total: - Car, truck, or van - carpooled: - $1 to $9,999 or loss"
HD02_VD21,"Margin of Error; Total: - Car, truck, or van - carpooled: - $1 to $9,999 or loss"
HD01_VD22,"Estimate; Total: - Car, truck, or van - carpooled: - $10,000 to $14,999"
HD02_VD22,"Margin of Error; Total: - Car, truck, or van - carpooled: - $10,000 to $14,999"
HD01_VD23,"Estimate; Total: - Car, truck, or van - carpooled: - $15,000 to $24,999"
HD02_VD23,"Margin of Error; Total: - Car, truck, or van - carpooled: - $15,000 to $24,999"
HD01_VD24,"Estimate; Total: - Car, truck, or van - carpooled: - $25,000 to $34,999"
HD02_VD24,"Margin of Error; Total: - Car, truck, or van - carpooled: - $25,000 to $34,999"
HD01_VD25,"Estimate; Total: - Car, truck, or van - carpooled: - $35,000 to $49,999"
HD02_VD25,"Margin of Error; Total: - Car, truck, or van - carpooled: - $35,000 to $49,999"
HD01_VD26,"Estimate; Total: - Car, truck, or van - carpooled: - $50,000 to $64,999"
HD02_VD26,"Margin of Error; Total: - Car, truck, or van - carpooled: - $50,000 to $64,999"
HD01_VD27,"Estimate; Total: - Car, truck, or van - carpooled: - $65,000 to $74,999"
HD02_VD27,"Margin of Error; Total: - Car, truck, or van - carpooled: - $65,000 to $74,999"
HD01_VD28,"Estimate; Total: - Car, truck, or van - carpooled: - $75,000 or more"
HD02_VD28,"Margin of Error; Total: - Car, truck, or van - carpooled: - $75,000 or more"
HD01_VD29,Estimate; Total: - Public transportation (excluding taxicab):
HD02_VD29,Margin of Error; Total: - Public transportation (excluding taxicab):
HD01_VD30,"Estimate; Total: - Public transportation (excluding taxicab): - $1 to $9,999 or loss"
HD02_VD30,"Margin of Error; Total: - Public transportation (excluding taxicab): - $1 to $9,999 or loss"
HD01_VD31,"Estimate; Total: - Public transportation (excluding taxicab): - $10,000 to $14,999"
HD02_VD31,"Margin of Error; Total: - Public transportation (excluding taxicab): - $10,000 to $14,999"
HD01_VD32,"Estimate; Total: - Public transportation (excluding taxicab): - $15,000 to $24,999"
HD02_VD32,"Margin of Error; Total: - Public transportation (excluding taxicab): - $15,000 to $24,999"
HD01_VD33,"Estimate; Total: - Public transportation (excluding taxicab): - $25,000 to $34,999"
HD02_VD33,"Margin of Error; Total: - Public transportation (excluding taxicab): - $25,000 to $34,999"
HD01_VD34,"Estimate; Total: - Public transportation (excluding taxicab): - $35,000 to $49,999"
HD02_VD34,"Margin of Error; Total: - Public transportation (excluding taxicab): - $35,000 to $49,999"
HD01_VD35,"Estimate; Total: - Public transportation (excluding taxicab): - $50,000 to $64,999"
HD02_VD35,"Margin of Error; Total: - Public transportation (excluding taxicab): - $50,000 to $64,999"
HD01_VD36,"Estimate; Total: - Public transportation (excluding taxicab): - $65,000 to $74,999"
HD02_VD36,"Margin of Error; Total: - Public transportation (excluding taxicab): - $65,000 to $74,999"
HD01_VD37,"Estimate; Total: - Public transportation (excluding taxicab): - $75,000 or more"
HD02_VD37,"Margin of Error; Total: - Public transportation (excluding taxicab): - $75,000 or more"
HD01_VD38,Estimate; Total: - Walked:
HD02_VD38,Margin of Error; Total: - Walked:
HD01_VD39,"Estimate; Total: - Walked: - $1 to $9,999 or loss"
HD02_VD39,"Margin of Error; Total: - Walked: - $1 to $9,999 or loss"
HD01_VD40,"Estimate; Total: - Walked: - $10,000 to $14,999"
HD02_VD40,"Margin of Error; Total: - Walked: - $10,000 to $14,999"
HD01_VD41,"Estimate; Total: - Walked: - $15,000 to $24,999"
HD02_VD41,"Margin of Error; Total: - Walked: - $15,000 to $24,999"
HD01_VD42,"Estimate; Total: - Walked: - $25,000 to $34,999"
HD02_VD42,"Margin of Error; Total: - Walked: - $25,000 to $34,999"
HD01_VD43,"Estimate; Total: - Walked: - $35,000 to $49,999"
