GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",1175,94,31321,3932,84.2,6.5,32857,3981,4.9,3.5,1909,3548,8.4,4.9,10997,3570,9.1,5.9,8506,1489,4.2,3.3,3406,2266,8.2,4.3,12619,2169,689,114,34967,5462,6.2,4.5,N,N,55.7,10.9,N,N,2.8,3.2,N,N,8.6,6.4,N,N,14.7,7.9,N,N,12.0,7.2,N,N,3930,527,10504,1553,48.2,9.7,10584,2283,12.4,5.3,14981,6356,0.6,0.8,N,N,26.1,8.7,7648,2812,0.0,0.8,-,**,12.0,6.5,12344,3524,0.7,0.7,7521,4624,49.7,9.5,9743,2036,10.1,4.3,16786,4648,29.4,(X),(X),(X),31.2,(X),(X),(X),23.8,(X),(X),(X)
1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",1249,101,30629,4652,78.5,7.7,32952,5701,3.0,2.2,7454,6890,14.6,4.1,12112,1848,11.4,5.5,9485,1954,4.2,3.0,2562,2877,4.5,2.7,14479,10240,880,106,28920,5793,19.3,9.1,N,N,43.8,9.0,N,N,8.1,4.5,N,N,21.3,9.1,N,N,6.1,4.9,N,N,1.5,2.5,N,N,4388,477,9282,1372,51.2,9.5,10359,2146,22.0,6.9,8154,1727,0.7,0.7,37703,16251,3.5,3.4,6748,5388,0.0,0.7,-,**,14.9,6.8,9061,3243,7.7,5.4,4203,3449,63.7,7.0,7864,1593,7.8,3.0,22310,7219,26.1,(X),(X),(X),26.7,(X),(X),(X),16.9,(X),(X),(X)
1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",1748,88,41694,4533,89.9,3.9,42293,4663,5.8,2.4,3226,2377,12.0,3.3,10224,1956,7.0,3.5,7566,2567,6.7,3.4,2455,987,6.2,3.0,19123,6778,1112,132,43813,5787,6.7,4.1,11293,9291,33.9,8.6,28695,8392,24.1,7.0,52531,12057,20.7,6.4,48653,8732,4.7,3.7,88963,21248,10.0,3.8,64614,7534,5961,471,13423,1535,53.0,7.4,14520,2280,14.8,4.4,11775,3323,2.2,1.9,7167,3916,3.0,2.3,11127,12658,0.0,0.5,-,**,19.6,6.5,13866,3185,7.4,3.3,10478,3425,60.1,5.2,10192,1215,18.2,3.8,25325,5085,27.3,(X),(X),(X),26.5,(X),(X),(X),22.3,(X),(X),(X)
1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",1761,75,60118,9143,83.1,5.0,55450,5702,11.8,4.0,46426,58203,26.8,6.1,14373,2234,6.2,3.6,15033,4469,4.8,3.0,951,466,16.9,4.9,16391,5831,1170,132,59515,6739,12.0,6.4,34719,12419,26.0,7.9,41221,7731,22.1,7.9,64385,11552,19.3,7.5,65030,9602,9.4,5.5,107491,41489,11.3,5.6,69005,8903,6470,503,17975,3408,57.0,6.9,20053,5089,18.9,5.8,15263,6696,1.6,1.8,20210,2975,2.6,3.0,22458,34631,0.0,0.5,-,**,17.5,7.7,13457,4780,2.4,1.4,16641,10752,52.2,6.2,12100,1913,24.4,4.7,32397,11737,29.8,(X),(X),(X),24.2,(X),(X),(X),22.8,(X),(X),(X)
1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",596,46,39187,9499,76.5,10.1,46269,11487,13.8,6.2,4810,4526,5.0,4.3,23260,4537,0.5,0.7,N,N,0.0,4.9,-,**,7.6,4.5,18947,9206,115,44,60073,16447,8.7,12.8,N,N,42.6,15.9,N,N,33.9,15.2,N,N,12.2,12.2,N,N,2.6,4.9,N,N,0.0,22.7,N,N,1254,201,22603,4403,80.1,6.7,24049,5454,3.6,3.5,14442,20381,0.0,2.4,-,**,8.6,7.1,18931,10392,0.0,2.4,-,**,3.7,3.1,16354,19512,4.0,3.4,14570,12838,19.0,6.9,23398,9567,65.6,7.8,23631,6212,16.1,(X),(X),(X),31.3,(X),(X),(X),19.8,(X),(X),(X)
1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",1444,73,56790,5135,76.0,5.8,56977,6280,16.2,4.8,3656,2539,33.0,5.0,15924,2498,7.6,4.6,19190,7289,4.4,3.5,4719,3377,24.7,4.5,18119,3909,1045,103,61027,6734,15.0,7.4,24120,10497,38.5,8.6,55424,8040,16.6,6.0,79792,12039,13.5,4.9,63626,10076,9.8,6.1,94219,25552,6.7,5.3,75999,25346,5148,434,17387,2023,65.7,6.7,18198,2936,18.8,4.7,17120,5206,4.9,6.6,11373,3031,2.6,3.3,17774,17682,0.4,0.7,N,N,1.6,1.4,25246,7635,5.9,3.6,11400,5177,37.2,7.2,12891,2631,35.9,6.2,22502,4179,29.1,(X),(X),(X),30.0,(X),(X),(X),17.7,(X),(X),(X)
1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",1793,98,41563,4567,85.2,4.5,38020,5326,10.7,4.2,7876,5286,27.8,5.5,14194,1876,9.0,4.9,9233,3000,4.9,3.0,5452,3606,9.3,3.5,24283,9480,1151,141,46158,7390,6.7,3.4,29414,11688,39.6,11.1,26820,5982,25.8,9.0,64175,23351,13.7,7.4,51261,11362,8.8,4.8,80177,12208,5.4,4.8,54453,26488,5545,487,14059,1884,55.6,7.2,18461,3131,22.5,5.1,6692,2357,2.0,2.4,12273,11327,6.9,5.4,6833,5788,0.0,0.5,-,**,8.3,4.6,13518,6015,4.7,3.8,9667,3917,43.6,6.4,12438,3419,24.5,4.4,26007,3715,34.2,(X),(X),(X),38.1,(X),(X),(X),26.5,(X),(X),(X)
1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",1079,63,46802,5788,89.8,4.3,45040,5669,1.6,1.5,600,805,19.7,6.8,16520,2790,1.9,2.4,7443,4994,1.8,1.9,2732,4423,6.6,3.2,19659,7964,825,93,48127,7347,2.9,2.3,44892,37077,48.7,10.6,39240,8074,24.4,10.8,52313,8255,15.6,9.6,39218,10889,8.4,6.2,105490,35849,0.0,3.6,-,**,3795,397,13773,2081,53.5,11.6,15650,3157,15.4,7.4,15122,5968,0.1,0.2,N,N,0.8,0.8,22371,11881,0.7,0.8,N,N,27.4,10.7,9595,2497,2.1,1.7,N,N,62.5,9.6,10683,2346,21.1,7.9,20711,5369,29.0,(X),(X),(X),25.9,(X),(X),(X),20.4,(X),(X),(X)
1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",2125,117,72382,9266,93.9,3.6,71147,10051,9.9,4.8,5245,3822,12.3,5.5,14701,3949,2.6,2.0,10945,3862,1.1,1.4,N,N,13.7,4.8,14094,5400,1387,165,79725,14618,3.7,2.7,33300,13292,22.9,8.4,43254,9783,41.6,9.6,108452,29288,13.6,7.6,70413,22163,10.2,7.0,84879,27056,8.1,6.6,65646,30769,6167,599,25548,3806,71.9,6.6,27243,4774,13.8,5.4,24622,10070,0.4,0.5,N,N,2.8,2.1,33730,13589,0.0,0.5,-,**,6.1,4.8,15199,6054,5.0,3.3,10942,11317,39.8,6.8,16588,7019,43.4,6.0,32499,4841,38.2,(X),(X),(X),39.4,(X),(X),(X),26.7,(X),(X),(X)
