GEO.id,GEO.id2_x,GEO.display-label_x,HD01_VD01,HC03_EST_VC01,HC04_EST_VC01,EMP,UNEMP,HC01_VC54,HC01_EST_VC02,HC02_EST_VC02,HC01_EST_VC14,HC01_EST_VC15,AC
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",3930,62.7,6.7,1737,4,125,1175,22184,81,25,581
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",4388,49,24.6,1409,12,65,1249,23531,56,36,282
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",5961,60.5,12.1,2580,7,283,1748,35229,211,133,364
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",6470,58.2,10.8,2741,6,214,1761,48288,301,215,286
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",1254,44,5.1,535,2,69,596,24706,389,248,189
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",5148,51.9,8.7,1963,5,146,1444,47029,225,94,157
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",5545,58.8,11.4,2313,7,248,1793,30054,207,46,471
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",3795,56.9,13.8,1438,8,90,1079,45268,85,69,119
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",6167,70.9,7.8,3334,6,480,2125,56734,480,301,97
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",4240,65.8,8.4,2158,6,202,1557,62572,412,160,67
1400000US08001008402,8001008402,"Census Tract 84.02, Adams County, Colorado",4839,65.6,6.2,2287,4,233,1587,73977,483,133,54
1400000US08001008505,8001008505,"Census Tract 85.05, Adams County, Colorado",6989,62.7,7,3467,4,568,2462,58641,677,104,107
1400000US08001008506,8001008506,"Census Tract 85.06, Adams County, Colorado",6022,60.1,10.4,2940,6,537,2610,34395,386,147,292
1400000US08001008507,8001008507,"Census Tract 85.07, Adams County, Colorado",7215,65.7,10.1,3700,7,488,2176,64362,432,253,76
