GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,AC
Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,Alt Commuters
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",443,0,0,28,110,581
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",216,0,0,0,66,282
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",296,0,0,31,37,364
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",219,0,0,20,47,286
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",0,0,0,28,161,189
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",105,0,0,9,43,157
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",381,0,8,7,75,471
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",108,0,0,0,11,119
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",97,0,0,0,0,97
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",12,0,0,6,49,67
1400000US08001008402,8001008402,"Census Tract 84.02, Adams County, Colorado",0,0,9,0,45,54
1400000US08001008505,8001008505,"Census Tract 85.05, Adams County, Colorado",74,0,0,0,33,107
1400000US08001008506,8001008506,"Census Tract 85.06, Adams County, Colorado",232,0,0,13,47,292
1400000US08001008507,8001008507,"Census Tract 85.07, Adams County, Colorado",45,0,15,0,16,76
1400000US08001008508,8001008508,"Census Tract 85.08, Adams County, Colorado",69,0,0,7,24,100
1400000US08001008523,8001008523,"Census Tract 85.23, Adams County, Colorado",62,0,0,0,25,87
1400000US08001008524,8001008524,"Census Tract 85.24, Adams County, Colorado",80,0,16,12,26,134
1400000US08001008526,8001008526,"Census Tract 85.26, Adams County, Colorado",31,0,13,0,0,44
1400000US08001008529,8001008529,"Census Tract 85.29, Adams County, Colorado",144,0,0,62,20,226
1400000US08001008533,8001008533,"Census Tract 85.33, Adams County, Colorado",132,0,0,0,0,132
1400000US08001008534,8001008534,"Census Tract 85.34, Adams County, Colorado",92,0,0,0,10,102
1400000US08001008535,8001008535,"Census Tract 85.35, Adams County, Colorado",91,0,0,30,8,129
1400000US08001008536,8001008536,"Census Tract 85.36, Adams County, Colorado",2,0,0,0,8,10
1400000US08001008537,8001008537,"Census Tract 85.37, Adams County, Colorado",38,0,0,0,0,38
1400000US08001008538,8001008538,"Census Tract 85.38, Adams County, Colorado",0,0,0,0,11,11
1400000US08001008539,8001008539,"Census Tract 85.39, Adams County, Colorado",10,0,45,0,25,80
1400000US08001008540,8001008540,"Census Tract 85.40, Adams County, Colorado",53,0,0,0,0,53
1400000US08001008541,8001008541,"Census Tract 85.41, Adams County, Colorado",72,0,10,0,7,89
1400000US08001008542,8001008542,"Census Tract 85.42, Adams County, Colorado",30,0,0,17,40,87
1400000US08001008543,8001008543,"Census Tract 85.43, Adams County, Colorado",8,0,20,33,29,90
1400000US08001008544,8001008544,"Census Tract 85.44, Adams County, Colorado",83,0,9,0,30,122
1400000US08001008545,8001008545,"Census Tract 85.45, Adams County, Colorado",57,0,0,0,4,61
1400000US08001008546,8001008546,"Census Tract 85.46, Adams County, Colorado",32,0,19,0,9,60
1400000US08001008547,8001008547,"Census Tract 85.47, Adams County, Colorado",43,0,13,9,0,65
1400000US08001008548,8001008548,"Census Tract 85.48, Adams County, Colorado",12,0,0,0,6,18
1400000US08001008549,8001008549,"Census Tract 85.49, Adams County, Colorado",94,0,6,0,12,112
1400000US08001008550,8001008550,"Census Tract 85.50, Adams County, Colorado",81,0,0,0,56,137
1400000US08001008551,8001008551,"Census Tract 85.51, Adams County, Colorado",20,0,0,10,37,67
1400000US08001008603,8001008603,"Census Tract 86.03, Adams County, Colorado",4,0,0,0,19,23
1400000US08001008604,8001008604,"Census Tract 86.04, Adams County, Colorado",52,0,0,0,18,70
1400000US08001008605,8001008605,"Census Tract 86.05, Adams County, Colorado",9,0,0,1,120,130
1400000US08001008606,8001008606,"Census Tract 86.06, Adams County, Colorado",0,0,0,0,20,20
1400000US08001008705,8001008705,"Census Tract 87.05, Adams County, Colorado",123,0,16,0,0,139
1400000US08001008706,8001008706,"Census Tract 87.06, Adams County, Colorado",144,0,0,0,1,145
1400000US08001008709,8001008709,"Census Tract 87.09, Adams County, Colorado",194,0,0,11,100,305
1400000US08001008801,8001008801,"Census Tract 88.01, Adams County, Colorado",23,0,0,0,0,23
1400000US08001008802,8001008802,"Census Tract 88.02, Adams County, Colorado",70,0,11,25,9,115
1400000US08001008901,8001008901,"Census Tract 89.01, Adams County, Colorado",4,0,7,0,36,47
1400000US08001009001,8001009001,"Census Tract 90.01, Adams County, Colorado",99,0,36,0,38,173
1400000US08001009002,8001009002,"Census Tract 90.02, Adams County, Colorado",265,0,0,0,64,329
1400000US08001009101,8001009101,"Census Tract 91.01, Adams County, Colorado",90,0,9,29,53,181
1400000US08001009103,8001009103,"Census Tract 91.03, Adams County, Colorado",56,0,0,0,0,56
1400000US08001009104,8001009104,"Census Tract 91.04, Adams County, Colorado",84,0,0,0,5,89
1400000US08001009202,8001009202,"Census Tract 92.02, Adams County, Colorado",87,0,0,0,13,100
1400000US08001009203,8001009203,"Census Tract 92.03, Adams County, Colorado",69,0,0,34,58,161
1400000US08001009204,8001009204,"Census Tract 92.04, Adams County, Colorado",76,22,0,0,21,119
1400000US08001009206,8001009206,"Census Tract 92.06, Adams County, Colorado",51,0,9,0,0,60
1400000US08001009207,8001009207,"Census Tract 92.07, Adams County, Colorado",39,0,0,0,0,39
1400000US08001009304,8001009304,"Census Tract 93.04, Adams County, Colorado",111,0,0,69,15,195
1400000US08001009306,8001009306,"Census Tract 93.06, Adams County, Colorado",39,0,0,0,6,45
1400000US08001009307,8001009307,"Census Tract 93.07, Adams County, Colorado",32,0,25,0,79,136
1400000US08001009308,8001009308,"Census Tract 93.08, Adams County, Colorado",166,0,0,0,31,197
1400000US08001009309,8001009309,"Census Tract 93.09, Adams County, Colorado",35,0,16,0,2,53
1400000US08001009310,8001009310,"Census Tract 93.10, Adams County, Colorado",117,0,10,0,85,212
1400000US08001009316,8001009316,"Census Tract 93.16, Adams County, Colorado",129,0,0,0,64,193
1400000US08001009318,8001009318,"Census Tract 93.18, Adams County, Colorado",152,0,0,0,0,152
1400000US08001009319,8001009319,"Census Tract 93.19, Adams County, Colorado",78,0,0,3,0,81
1400000US08001009320,8001009320,"Census Tract 93.20, Adams County, Colorado",75,0,0,0,0,75
1400000US08001009321,8001009321,"Census Tract 93.21, Adams County, Colorado",67,0,12,0,0,79
1400000US08001009322,8001009322,"Census Tract 93.22, Adams County, Colorado",79,0,0,0,5,84
1400000US08001009323,8001009323,"Census Tract 93.23, Adams County, Colorado",78,0,0,60,23,161
1400000US08001009325,8001009325,"Census Tract 93.25, Adams County, Colorado",101,0,13,0,38,152
1400000US08001009326,8001009326,"Census Tract 93.26, Adams County, Colorado",46,0,0,19,9,74
1400000US08001009327,8001009327,"Census Tract 93.27, Adams County, Colorado",18,0,0,21,0,39
1400000US08001009401,8001009401,"Census Tract 94.01, Adams County, Colorado",70,0,9,0,0,79
1400000US08001009406,8001009406,"Census Tract 94.06, Adams County, Colorado",77,0,0,0,31,108
1400000US08001009407,8001009407,"Census Tract 94.07, Adams County, Colorado",162,0,16,11,9,198
1400000US08001009408,8001009408,"Census Tract 94.08, Adams County, Colorado",102,0,15,11,0,128
1400000US08001009409,8001009409,"Census Tract 94.09, Adams County, Colorado",260,0,0,1,12,273
1400000US08001009410,8001009410,"Census Tract 94.10, Adams County, Colorado",58,0,0,0,4,62
1400000US08001009411,8001009411,"Census Tract 94.11, Adams County, Colorado",55,0,0,0,61,116
1400000US08001009501,8001009501,"Census Tract 95.01, Adams County, Colorado",63,0,0,13,0,76
1400000US08001009502,8001009502,"Census Tract 95.02, Adams County, Colorado",48,0,0,0,13,61
1400000US08001009553,8001009553,"Census Tract 95.53, Adams County, Colorado",32,0,0,0,38,70
1400000US08001009603,8001009603,"Census Tract 96.03, Adams County, Colorado",111,0,0,4,14,129
1400000US08001009604,8001009604,"Census Tract 96.04, Adams County, Colorado",89,0,38,8,75,210
1400000US08001009606,8001009606,"Census Tract 96.06, Adams County, Colorado",98,0,0,0,0,98
1400000US08001009607,8001009607,"Census Tract 96.07, Adams County, Colorado",176,0,0,14,35,225
1400000US08001009608,8001009608,"Census Tract 96.08, Adams County, Colorado",16,0,9,7,3,35
1400000US08001009751,8001009751,"Census Tract 97.51, Adams County, Colorado",150,0,0,15,51,216
1400000US08001009752,8001009752,"Census Tract 97.52, Adams County, Colorado",64,0,0,0,25,89
1400000US08001015000,8001015000,"Census Tract 150, Adams County, Colorado",54,0,0,0,48,102
1400000US08001060000,8001060000,"Census Tract 600, Adams County, Colorado",16,0,5,15,135,171
1400000US08001060100,8001060100,"Census Tract 601, Adams County, Colorado",103,0,0,0,0,103
1400000US08001060200,8001060200,"Census Tract 602, Adams County, Colorado",159,0,0,0,40,199
1400000US08001061200,8001061200,"Census Tract 612, Adams County, Colorado",14,0,0,0,0,14
1400000US08001988700,8001988700,"Census Tract 9887, Adams County, Colorado",0,0,0,0,0,0
1400000US08003960000,8003960000,"Census Tract 9600, Alamosa County, Colorado",0,0,0,0,27,27
1400000US08003960100,8003960100,"Census Tract 9601, Alamosa County, Colorado",0,0,0,0,16,16
1400000US08003960200,8003960200,"Census Tract 9602, Alamosa County, Colorado",28,0,0,76,359,463
1400000US08003960300,8003960300,"Census Tract 9603, Alamosa County, Colorado",1,0,0,87,73,161
1400000US08005004951,8005004951,"Census Tract 49.51, Arapahoe County, Colorado",328,0,0,21,34,383
1400000US08005004952,8005004952,"Census Tract 49.52, Arapahoe County, Colorado",133,0,0,27,132,292
1400000US08005005551,8005005551,"Census Tract 55.51, Arapahoe County, Colorado",0,0,6,74,79,159
1400000US08005005552,8005005552,"Census Tract 55.52, Arapahoe County, Colorado",95,0,27,39,10,171
1400000US08005005553,8005005553,"Census Tract 55.53, Arapahoe County, Colorado",92,0,0,10,42,144
1400000US08005005611,8005005611,"Census Tract 56.11, Arapahoe County, Colorado",163,0,0,0,46,209
1400000US08005005612,8005005612,"Census Tract 56.12, Arapahoe County, Colorado",29,0,0,16,50,95
1400000US08005005614,8005005614,"Census Tract 56.14, Arapahoe County, Colorado",99,0,17,0,0,116
1400000US08005005619,8005005619,"Census Tract 56.19, Arapahoe County, Colorado",87,0,10,3,0,100
1400000US08005005620,8005005620,"Census Tract 56.20, Arapahoe County, Colorado",64,0,0,0,47,111
1400000US08005005621,8005005621,"Census Tract 56.21, Arapahoe County, Colorado",71,0,0,0,36,107
1400000US08005005622,8005005622,"Census Tract 56.22, Arapahoe County, Colorado",38,0,0,0,20,58
1400000US08005005623,8005005623,"Census Tract 56.23, Arapahoe County, Colorado",58,0,14,0,1,73
1400000US08005005624,8005005624,"Census Tract 56.24, Arapahoe County, Colorado",55,0,8,10,26,99
1400000US08005005625,8005005625,"Census Tract 56.25, Arapahoe County, Colorado",76,0,0,6,19,101
1400000US08005005626,8005005626,"Census Tract 56.26, Arapahoe County, Colorado",52,0,0,29,33,114
1400000US08005005627,8005005627,"Census Tract 56.27, Arapahoe County, Colorado",20,0,0,0,77,97
1400000US08005005628,8005005628,"Census Tract 56.28, Arapahoe County, Colorado",22,0,0,0,40,62
1400000US08005005629,8005005629,"Census Tract 56.29, Arapahoe County, Colorado",42,0,0,0,25,67
1400000US08005005630,8005005630,"Census Tract 56.30, Arapahoe County, Colorado",58,0,48,16,84,206
1400000US08005005631,8005005631,"Census Tract 56.31, Arapahoe County, Colorado",44,0,7,0,9,60
1400000US08005005632,8005005632,"Census Tract 56.32, Arapahoe County, Colorado",41,0,0,0,60,101
1400000US08005005633,8005005633,"Census Tract 56.33, Arapahoe County, Colorado",59,0,0,17,6,82
1400000US08005005634,8005005634,"Census Tract 56.34, Arapahoe County, Colorado",150,0,0,9,6,165
1400000US08005005635,8005005635,"Census Tract 56.35, Arapahoe County, Colorado",0,0,15,0,24,39
1400000US08005005636,8005005636,"Census Tract 56.36, Arapahoe County, Colorado",0,5,0,0,5,10
1400000US08005005700,8005005700,"Census Tract 57, Arapahoe County, Colorado",202,0,0,0,117,319
1400000US08005005800,8005005800,"Census Tract 58, Arapahoe County, Colorado",92,0,0,14,27,133
1400000US08005005951,8005005951,"Census Tract 59.51, Arapahoe County, Colorado",271,0,29,0,140,440
1400000US08005005952,8005005952,"Census Tract 59.52, Arapahoe County, Colorado",121,0,0,9,20,150
1400000US08005006000,8005006000,"Census Tract 60, Arapahoe County, Colorado",120,0,0,38,14,172
1400000US08005006100,8005006100,"Census Tract 61, Arapahoe County, Colorado",168,0,0,82,51,301
1400000US08005006200,8005006200,"Census Tract 62, Arapahoe County, Colorado",81,0,0,0,18,99
1400000US08005006300,8005006300,"Census Tract 63, Arapahoe County, Colorado",25,0,0,0,0,25
1400000US08005006400,8005006400,"Census Tract 64, Arapahoe County, Colorado",82,11,0,17,14,124
1400000US08005006501,8005006501,"Census Tract 65.01, Arapahoe County, Colorado",114,0,0,24,76,214
1400000US08005006502,8005006502,"Census Tract 65.02, Arapahoe County, Colorado",208,0,9,21,56,294
1400000US08005006601,8005006601,"Census Tract 66.01, Arapahoe County, Colorado",235,0,0,26,107,368
1400000US08005006603,8005006603,"Census Tract 66.03, Arapahoe County, Colorado",79,0,0,0,11,90
1400000US08005006604,8005006604,"Census Tract 66.04, Arapahoe County, Colorado",113,0,0,5,112,230
1400000US08005006704,8005006704,"Census Tract 67.04, Arapahoe County, Colorado",3,0,0,0,8,11
1400000US08005006705,8005006705,"Census Tract 67.05, Arapahoe County, Colorado",0,0,0,0,0,0
1400000US08005006706,8005006706,"Census Tract 67.06, Arapahoe County, Colorado",26,0,0,16,25,67
1400000US08005006707,8005006707,"Census Tract 67.07, Arapahoe County, Colorado",68,0,0,0,37,105
1400000US08005006708,8005006708,"Census Tract 67.08, Arapahoe County, Colorado",101,0,13,23,43,180
1400000US08005006709,8005006709,"Census Tract 67.09, Arapahoe County, Colorado",105,0,10,17,72,204
1400000US08005006711,8005006711,"Census Tract 67.11, Arapahoe County, Colorado",37,0,0,12,10,59
1400000US08005006712,8005006712,"Census Tract 67.12, Arapahoe County, Colorado",0,0,0,0,3,3
1400000US08005006713,8005006713,"Census Tract 67.13, Arapahoe County, Colorado",75,0,0,5,48,128
1400000US08005006808,8005006808,"Census Tract 68.08, Arapahoe County, Colorado",52,0,0,28,0,80
1400000US08005006815,8005006815,"Census Tract 68.15, Arapahoe County, Colorado",93,0,6,0,51,150
1400000US08005006854,8005006854,"Census Tract 68.54, Arapahoe County, Colorado",73,0,0,0,10,83
1400000US08005006855,8005006855,"Census Tract 68.55, Arapahoe County, Colorado",46,0,0,17,30,93
1400000US08005006856,8005006856,"Census Tract 68.56, Arapahoe County, Colorado",281,0,0,0,0,281
1400000US08005006857,8005006857,"Census Tract 68.57, Arapahoe County, Colorado",43,0,0,0,18,61
1400000US08005006858,8005006858,"Census Tract 68.58, Arapahoe County, Colorado",96,0,0,47,96,239
1400000US08005007101,8005007101,"Census Tract 71.01, Arapahoe County, Colorado",0,0,14,0,11,25
1400000US08005007103,8005007103,"Census Tract 71.03, Arapahoe County, Colorado",0,0,4,0,0,4
1400000US08005007104,8005007104,"Census Tract 71.04, Arapahoe County, Colorado",4,0,11,12,102,129
1400000US08005007105,8005007105,"Census Tract 71.05, Arapahoe County, Colorado",0,0,0,0,28,28
1400000US08005007106,8005007106,"Census Tract 71.06, Arapahoe County, Colorado",77,0,0,0,17,94
1400000US08005007107,8005007107,"Census Tract 71.07, Arapahoe County, Colorado",38,0,8,0,19,65
1400000US08005007201,8005007201,"Census Tract 72.01, Arapahoe County, Colorado",193,14,0,24,38,269
1400000US08005007202,8005007202,"Census Tract 72.02, Arapahoe County, Colorado",159,0,0,0,53,212
1400000US08005007301,8005007301,"Census Tract 73.01, Arapahoe County, Colorado",99,21,0,6,85,211
1400000US08005007302,8005007302,"Census Tract 73.02, Arapahoe County, Colorado",526,0,27,2,136,691
1400000US08005007400,8005007400,"Census Tract 74, Arapahoe County, Colorado",169,0,16,14,1,200
1400000US08005007500,8005007500,"Census Tract 75, Arapahoe County, Colorado",113,0,0,6,30,149
1400000US08005007600,8005007600,"Census Tract 76, Arapahoe County, Colorado",92,0,9,0,27,128
1400000US08005007702,8005007702,"Census Tract 77.02, Arapahoe County, Colorado",176,0,0,8,40,224
