,GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
0,Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked
1,1500000US080130121011,080130121011,"Block Group 1, Census Tract 121.01, Boulder County, Colorado",14,0,0,76,34
2,1500000US080130121012,080130121012,"Block Group 2, Census Tract 121.01, Boulder County, Colorado",17,0,0,68,15
3,1500000US080130121013,080130121013,"Block Group 3, Census Tract 121.01, Boulder County, Colorado",100,0,0,62,31
4,1500000US080130121014,080130121014,"Block Group 4, Census Tract 121.01, Boulder County, Colorado",71,0,0,54,63
5,1500000US080130121021,080130121021,"Block Group 1, Census Tract 121.02, Boulder County, Colorado",103,0,0,157,211
6,1500000US080130121022,080130121022,"Block Group 2, Census Tract 121.02, Boulder County, Colorado",55,0,0,222,77
7,1500000US080130121023,080130121023,"Block Group 3, Census Tract 121.02, Boulder County, Colorado",64,0,0,233,133
8,1500000US080130121024,080130121024,"Block Group 4, Census Tract 121.02, Boulder County, Colorado",60,0,29,147,0
9,1500000US080130121025,080130121025,"Block Group 5, Census Tract 121.02, Boulder County, Colorado",0,0,0,62,35
10,1500000US080130121031,080130121031,"Block Group 1, Census Tract 121.03, Boulder County, Colorado",11,0,0,25,0
11,1500000US080130121032,080130121032,"Block Group 2, Census Tract 121.03, Boulder County, Colorado",8,0,0,30,0
12,1500000US080130121033,080130121033,"Block Group 3, Census Tract 121.03, Boulder County, Colorado",12,7,0,137,55
13,1500000US080130121041,080130121041,"Block Group 1, Census Tract 121.04, Boulder County, Colorado",34,0,0,0,0
14,1500000US080130121042,080130121042,"Block Group 2, Census Tract 121.04, Boulder County, Colorado",60,0,7,15,27
15,1500000US080130121051,080130121051,"Block Group 1, Census Tract 121.05, Boulder County, Colorado",20,0,43,144,12
16,1500000US080130121052,080130121052,"Block Group 2, Census Tract 121.05, Boulder County, Colorado",65,0,0,28,67
17,1500000US080130121053,080130121053,"Block Group 3, Census Tract 121.05, Boulder County, Colorado",89,0,0,56,14
18,1500000US080130121054,080130121054,"Block Group 4, Census Tract 121.05, Boulder County, Colorado",43,0,0,0,22
19,1500000US080130122011,080130122011,"Block Group 1, Census Tract 122.01, Boulder County, Colorado",47,0,0,44,115
20,1500000US080130122012,080130122012,"Block Group 2, Census Tract 122.01, Boulder County, Colorado",45,0,0,134,262
21,1500000US080130122013,080130122013,"Block Group 3, Census Tract 122.01, Boulder County, Colorado",70,0,0,69,38
22,1500000US080130122021,080130122021,"Block Group 1, Census Tract 122.02, Boulder County, Colorado",11,0,0,158,182
23,1500000US080130122022,080130122022,"Block Group 2, Census Tract 122.02, Boulder County, Colorado",188,0,0,250,205
24,1500000US080130122023,080130122023,"Block Group 3, Census Tract 122.02, Boulder County, Colorado",13,0,0,308,323
