GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US080130121011,080130121011,"Block Group 1, Census Tract 121.01, Boulder County, Colorado",87205,19781
1500000US080130121012,080130121012,"Block Group 2, Census Tract 121.01, Boulder County, Colorado",121174,17120
1500000US080130121013,080130121013,"Block Group 3, Census Tract 121.01, Boulder County, Colorado",80288,37809
1500000US080130121014,080130121014,"Block Group 4, Census Tract 121.01, Boulder County, Colorado",91250,48753
1500000US080130121021,080130121021,"Block Group 1, Census Tract 121.02, Boulder County, Colorado",43929,12337
1500000US080130121022,080130121022,"Block Group 2, Census Tract 121.02, Boulder County, Colorado",115298,35745
1500000US080130121023,080130121023,"Block Group 3, Census Tract 121.02, Boulder County, Colorado",85694,44511
1500000US080130121024,080130121024,"Block Group 4, Census Tract 121.02, Boulder County, Colorado",63269,23572
1500000US080130121025,080130121025,"Block Group 5, Census Tract 121.02, Boulder County, Colorado",106375,98777
1500000US080130121031,080130121031,"Block Group 1, Census Tract 121.03, Boulder County, Colorado",140278,45962
1500000US080130121032,080130121032,"Block Group 2, Census Tract 121.03, Boulder County, Colorado",146719,32267
1500000US080130121033,080130121033,"Block Group 3, Census Tract 121.03, Boulder County, Colorado",55550,7115
1500000US080130121041,080130121041,"Block Group 1, Census Tract 121.04, Boulder County, Colorado",93438,58140
1500000US080130121042,080130121042,"Block Group 2, Census Tract 121.04, Boulder County, Colorado",120833,24028
1500000US080130121051,080130121051,"Block Group 1, Census Tract 121.05, Boulder County, Colorado",83487,29161
1500000US080130121052,080130121052,"Block Group 2, Census Tract 121.05, Boulder County, Colorado",47350,7732
1500000US080130121053,080130121053,"Block Group 3, Census Tract 121.05, Boulder County, Colorado",138611,27305
1500000US080130121054,080130121054,"Block Group 4, Census Tract 121.05, Boulder County, Colorado",83214,32283
1500000US080130122011,080130122011,"Block Group 1, Census Tract 122.01, Boulder County, Colorado",40764,27296
1500000US080130122012,080130122012,"Block Group 2, Census Tract 122.01, Boulder County, Colorado",49844,27688
1500000US080130122013,080130122013,"Block Group 3, Census Tract 122.01, Boulder County, Colorado",106818,31825
1500000US080130122021,080130122021,"Block Group 1, Census Tract 122.02, Boulder County, Colorado",55577,21542
1500000US080130122022,080130122022,"Block Group 2, Census Tract 122.02, Boulder County, Colorado",40515,14221
1500000US080130122023,080130122023,"Block Group 3, Census Tract 122.02, Boulder County, Colorado",19031,17253
1500000US080130122024,080130122024,"Block Group 4, Census Tract 122.02, Boulder County, Colorado",36694,17381
1500000US080130122031,080130122031,"Block Group 1, Census Tract 122.03, Boulder County, Colorado",51090,18237
1500000US080130122032,080130122032,"Block Group 2, Census Tract 122.03, Boulder County, Colorado",63810,10025
1500000US080130122033,080130122033,"Block Group 3, Census Tract 122.03, Boulder County, Colorado",36912,10039
1500000US080130122034,080130122034,"Block Group 4, Census Tract 122.03, Boulder County, Colorado",54079,17545
1500000US080130122041,080130122041,"Block Group 1, Census Tract 122.04, Boulder County, Colorado",43594,26782
1500000US080130122042,080130122042,"Block Group 2, Census Tract 122.04, Boulder County, Colorado",16280,10729
1500000US080130122043,080130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",70333,20716
1500000US080130123001,080130123001,"Block Group 1, Census Tract 123, Boulder County, Colorado",-,**
1500000US080130123002,080130123002,"Block Group 2, Census Tract 123, Boulder County, Colorado",32208,8778
1500000US080130124011,080130124011,"Block Group 1, Census Tract 124.01, Boulder County, Colorado",9583,3662
1500000US080130124012,080130124012,"Block Group 2, Census Tract 124.01, Boulder County, Colorado",16398,4172
1500000US080130124013,080130124013,"Block Group 3, Census Tract 124.01, Boulder County, Colorado",144250,30667
1500000US080130124014,080130124014,"Block Group 4, Census Tract 124.01, Boulder County, Colorado",18869,16572
1500000US080130125011,080130125011,"Block Group 1, Census Tract 125.01, Boulder County, Colorado",55714,14676
1500000US080130125012,080130125012,"Block Group 2, Census Tract 125.01, Boulder County, Colorado",63229,14984
1500000US080130125052,080130125052,"Block Group 2, Census Tract 125.05, Boulder County, Colorado",91705,18702
1500000US080130125053,080130125053,"Block Group 3, Census Tract 125.05, Boulder County, Colorado",104688,45887
1500000US080130125071,080130125071,"Block Group 1, Census Tract 125.07, Boulder County, Colorado",47250,31653
1500000US080130125072,080130125072,"Block Group 2, Census Tract 125.07, Boulder County, Colorado",50652,24289
1500000US080130125073,080130125073,"Block Group 3, Census Tract 125.07, Boulder County, Colorado",82803,30160
1500000US080130125081,080130125081,"Block Group 1, Census Tract 125.08, Boulder County, Colorado",98684,11081
1500000US080130125082,080130125082,"Block Group 2, Census Tract 125.08, Boulder County, Colorado",58315,13987
1500000US080130125083,080130125083,"Block Group 3, Census Tract 125.08, Boulder County, Colorado",61019,30843
1500000US080130125091,080130125091,"Block Group 1, Census Tract 125.09, Boulder County, Colorado",89740,16728
1500000US080130125092,080130125092,"Block Group 2, Census Tract 125.09, Boulder County, Colorado",95333,20276
1500000US080130125093,080130125093,"Block Group 3, Census Tract 125.09, Boulder County, Colorado",84000,18609
1500000US080130125101,080130125101,"Block Group 1, Census Tract 125.10, Boulder County, Colorado",170357,113532
1500000US080130125102,080130125102,"Block Group 2, Census Tract 125.10, Boulder County, Colorado",142353,26433
1500000US080130125103,080130125103,"Block Group 3, Census Tract 125.10, Boulder County, Colorado",105034,19198
1500000US080130125104,080130125104,"Block Group 4, Census Tract 125.10, Boulder County, Colorado",119677,23029
1500000US080130125111,080130125111,"Block Group 1, Census Tract 125.11, Boulder County, Colorado",41211,14980
1500000US080130125112,080130125112,"Block Group 2, Census Tract 125.11, Boulder County, Colorado",63542,18678
1500000US080130125113,080130125113,"Block Group 3, Census Tract 125.11, Boulder County, Colorado",16250,10816
1500000US080130126031,080130126031,"Block Group 1, Census Tract 126.03, Boulder County, Colorado",84542,12052
1500000US080130126032,080130126032,"Block Group 2, Census Tract 126.03, Boulder County, Colorado",106750,27631
1500000US080130126051,080130126051,"Block Group 1, Census Tract 126.05, Boulder County, Colorado",38571,21286
1500000US080130126052,080130126052,"Block Group 2, Census Tract 126.05, Boulder County, Colorado",32287,5480
1500000US080130126071,080130126071,"Block Group 1, Census Tract 126.07, Boulder County, Colorado",16173,6561
1500000US080130126072,080130126072,"Block Group 2, Census Tract 126.07, Boulder County, Colorado",21637,7599
1500000US080130126073,080130126073,"Block Group 3, Census Tract 126.07, Boulder County, Colorado",21848,9022
1500000US080130126074,080130126074,"Block Group 4, Census Tract 126.07, Boulder County, Colorado",34762,16679
1500000US080130126081,080130126081,"Block Group 1, Census Tract 126.08, Boulder County, Colorado",62328,16706
1500000US080130127011,080130127011,"Block Group 1, Census Tract 127.01, Boulder County, Colorado",156667,44733
1500000US080130127012,080130127012,"Block Group 2, Census Tract 127.01, Boulder County, Colorado",127098,32488
1500000US080130127013,080130127013,"Block Group 3, Census Tract 127.01, Boulder County, Colorado",153563,24935
1500000US080130127014,080130127014,"Block Group 4, Census Tract 127.01, Boulder County, Colorado",85167,23702
1500000US080130127051,080130127051,"Block Group 1, Census Tract 127.05, Boulder County, Colorado",45568,8776
1500000US080130127052,080130127052,"Block Group 2, Census Tract 127.05, Boulder County, Colorado",66202,15784
1500000US080130127053,080130127053,"Block Group 3, Census Tract 127.05, Boulder County, Colorado",114605,53982
1500000US080130127071,080130127071,"Block Group 1, Census Tract 127.07, Boulder County, Colorado",49886,12365
1500000US080130127072,080130127072,"Block Group 2, Census Tract 127.07, Boulder County, Colorado",124107,26868
1500000US080130127081,080130127081,"Block Group 1, Census Tract 127.08, Boulder County, Colorado",78511,13926
1500000US080130127082,080130127082,"Block Group 2, Census Tract 127.08, Boulder County, Colorado",230069,184111
1500000US080130127083,080130127083,"Block Group 3, Census Tract 127.08, Boulder County, Colorado",95897,16687
1500000US080130127084,080130127084,"Block Group 4, Census Tract 127.08, Boulder County, Colorado",121375,36004
1500000US080130127091,080130127091,"Block Group 1, Census Tract 127.09, Boulder County, Colorado",95250,11568
1500000US080130127101,080130127101,"Block Group 1, Census Tract 127.10, Boulder County, Colorado",86042,19624
1500000US080130127102,080130127102,"Block Group 2, Census Tract 127.10, Boulder County, Colorado",75417,12219
1500000US080130127103,080130127103,"Block Group 3, Census Tract 127.10, Boulder County, Colorado",134583,32002
1500000US080130128001,080130128001,"Block Group 1, Census Tract 128, Boulder County, Colorado",165000,59488
1500000US080130128002,080130128002,"Block Group 2, Census Tract 128, Boulder County, Colorado",108929,15661
1500000US080130128003,080130128003,"Block Group 3, Census Tract 128, Boulder County, Colorado",122159,21460
1500000US080130128004,080130128004,"Block Group 4, Census Tract 128, Boulder County, Colorado",128259,39632
1500000US080130128005,080130128005,"Block Group 5, Census Tract 128, Boulder County, Colorado",95769,22704
1500000US080130129031,080130129031,"Block Group 1, Census Tract 129.03, Boulder County, Colorado",125750,19123
1500000US080130129041,080130129041,"Block Group 1, Census Tract 129.04, Boulder County, Colorado",70864,18747
1500000US080130129042,080130129042,"Block Group 2, Census Tract 129.04, Boulder County, Colorado",91573,34365
1500000US080130129051,080130129051,"Block Group 1, Census Tract 129.05, Boulder County, Colorado",52829,7395
1500000US080130129052,080130129052,"Block Group 2, Census Tract 129.05, Boulder County, Colorado",56146,12937
1500000US080130129071,080130129071,"Block Group 1, Census Tract 129.07, Boulder County, Colorado",87583,22710
1500000US080130129072,080130129072,"Block Group 2, Census Tract 129.07, Boulder County, Colorado",75313,15166
1500000US080130130031,080130130031,"Block Group 1, Census Tract 130.03, Boulder County, Colorado",97976,31139
1500000US080130130032,080130130032,"Block Group 2, Census Tract 130.03, Boulder County, Colorado",81510,20374
1500000US080130130033,080130130033,"Block Group 3, Census Tract 130.03, Boulder County, Colorado",111974,87877
1500000US080130130034,080130130034,"Block Group 4, Census Tract 130.03, Boulder County, Colorado",60821,14177
1500000US080130130041,080130130041,"Block Group 1, Census Tract 130.04, Boulder County, Colorado",110521,14320
1500000US080130130042,080130130042,"Block Group 2, Census Tract 130.04, Boulder County, Colorado",123000,13942
1500000US080130130051,080130130051,"Block Group 1, Census Tract 130.05, Boulder County, Colorado",61434,7729
1500000US080130130052,080130130052,"Block Group 2, Census Tract 130.05, Boulder County, Colorado",93750,30624
1500000US080130130061,080130130061,"Block Group 1, Census Tract 130.06, Boulder County, Colorado",80699,20252
1500000US080130130062,080130130062,"Block Group 2, Census Tract 130.06, Boulder County, Colorado",101484,25868
1500000US080130130063,080130130063,"Block Group 3, Census Tract 130.06, Boulder County, Colorado",104050,26273
1500000US080130132011,080130132011,"Block Group 1, Census Tract 132.01, Boulder County, Colorado",74083,19587
1500000US080130132021,080130132021,"Block Group 1, Census Tract 132.02, Boulder County, Colorado",102361,24917
1500000US080130132022,080130132022,"Block Group 2, Census Tract 132.02, Boulder County, Colorado",128077,32155
1500000US080130132051,080130132051,"Block Group 1, Census Tract 132.05, Boulder County, Colorado",112321,13868
1500000US080130132052,080130132052,"Block Group 2, Census Tract 132.05, Boulder County, Colorado",90652,31318
1500000US080130132053,080130132053,"Block Group 3, Census Tract 132.05, Boulder County, Colorado",126275,23050
1500000US080130132071,080130132071,"Block Group 1, Census Tract 132.07, Boulder County, Colorado",81750,13269
1500000US080130132072,080130132072,"Block Group 2, Census Tract 132.07, Boulder County, Colorado",45000,15922
1500000US080130132073,080130132073,"Block Group 3, Census Tract 132.07, Boulder County, Colorado",106528,15752
1500000US080130132081,080130132081,"Block Group 1, Census Tract 132.08, Boulder County, Colorado",54617,12207
1500000US080130132082,080130132082,"Block Group 2, Census Tract 132.08, Boulder County, Colorado",78125,23961
1500000US080130132083,080130132083,"Block Group 3, Census Tract 132.08, Boulder County, Colorado",64306,11200
1500000US080130132101,080130132101,"Block Group 1, Census Tract 132.10, Boulder County, Colorado",66406,13299
1500000US080130132102,080130132102,"Block Group 2, Census Tract 132.10, Boulder County, Colorado",50583,13680
1500000US080130132103,080130132103,"Block Group 3, Census Tract 132.10, Boulder County, Colorado",80052,29195
1500000US080130132111,080130132111,"Block Group 1, Census Tract 132.11, Boulder County, Colorado",120900,29909
1500000US080130132112,080130132112,"Block Group 2, Census Tract 132.11, Boulder County, Colorado",99205,42780
1500000US080130132113,080130132113,"Block Group 3, Census Tract 132.11, Boulder County, Colorado",22631,17564
1500000US080130132121,080130132121,"Block Group 1, Census Tract 132.12, Boulder County, Colorado",54632,42685
1500000US080130132122,080130132122,"Block Group 2, Census Tract 132.12, Boulder County, Colorado",113750,14637
1500000US080130132123,080130132123,"Block Group 3, Census Tract 132.12, Boulder County, Colorado",72153,12063
1500000US080130132131,080130132131,"Block Group 1, Census Tract 132.13, Boulder County, Colorado",97500,19207
1500000US080130132132,080130132132,"Block Group 2, Census Tract 132.13, Boulder County, Colorado",51667,12847
1500000US080130132133,080130132133,"Block Group 3, Census Tract 132.13, Boulder County, Colorado",135703,69041
1500000US080130133021,080130133021,"Block Group 1, Census Tract 133.02, Boulder County, Colorado",41809,18648
1500000US080130133022,080130133022,"Block Group 2, Census Tract 133.02, Boulder County, Colorado",41053,23406
1500000US080130133023,080130133023,"Block Group 3, Census Tract 133.02, Boulder County, Colorado",46563,3361
