GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US080130121011,080130121011,"Block Group 1, Census Tract 121.01, Boulder County, Colorado",553,150,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,21,30,37,0,11,14,22,15,24,0,11,209,105,160,89,90,60,22,25
1500000US080130121012,080130121012,"Block Group 2, Census Tract 121.01, Boulder County, Colorado",1114,180,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,64,52,0,11,23,28,105,80,0,11,376,103,372,158,108,72,66,75
1500000US080130121013,080130121013,"Block Group 3, Census Tract 121.01, Boulder County, Colorado",821,200,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,3,0,11,0,11,27,33,1,4,15,23,74,72,0,11,195,82,342,121,14,23,152,81
1500000US080130121014,080130121014,"Block Group 4, Census Tract 121.01, Boulder County, Colorado",835,203,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,64,91,0,11,17,30,27,44,0,11,85,90,36,42,20,33,242,184,289,97,19,26,36,33
1500000US080130121021,080130121021,"Block Group 1, Census Tract 121.02, Boulder County, Colorado",1117,209,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,64,56,0,11,0,11,9,19,0,11,0,11,0,11,39,45,0,11,33,38,138,97,41,36,456,128,265,112,24,29,48,46
1500000US080130121022,080130121022,"Block Group 2, Census Tract 121.02, Boulder County, Colorado",1201,270,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,7,15,6,13,0,11,0,11,0,11,7,16,123,80,21,47,29,39,109,68,56,56,356,158,340,145,33,37,114,83
1500000US080130121023,080130121023,"Block Group 3, Census Tract 121.02, Boulder County, Colorado",1345,292,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,4,8,50,75,35,30,60,92,0,11,159,123,57,53,509,294,344,130,79,63,48,70
1500000US080130121024,080130121024,"Block Group 4, Census Tract 121.02, Boulder County, Colorado",977,171,0,11,0,11,0,11,0,11,0,11,1,2,0,11,0,11,1,3,0,11,0,11,0,11,0,11,1,3,0,11,96,80,16,23,0,11,40,42,37,37,440,147,239,101,29,24,77,62
1500000US080130121025,080130121025,"Block Group 5, Census Tract 121.02, Boulder County, Colorado",542,154,16,25,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,24,71,58,0,11,0,11,46,37,16,26,206,92,107,66,34,38,31,37
