GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US080130121011,080130121011,"Block Group 1, Census Tract 121.01, Boulder County, Colorado",470,94
1500000US080130121012,080130121012,"Block Group 2, Census Tract 121.01, Boulder County, Colorado",619,99
1500000US080130121013,080130121013,"Block Group 3, Census Tract 121.01, Boulder County, Colorado",554,91
1500000US080130121014,080130121014,"Block Group 4, Census Tract 121.01, Boulder County, Colorado",480,108
1500000US080130121021,080130121021,"Block Group 1, Census Tract 121.02, Boulder County, Colorado",868,135
1500000US080130121022,080130121022,"Block Group 2, Census Tract 121.02, Boulder County, Colorado",563,104
1500000US080130121023,080130121023,"Block Group 3, Census Tract 121.02, Boulder County, Colorado",683,138
1500000US080130121024,080130121024,"Block Group 4, Census Tract 121.02, Boulder County, Colorado",690,130
1500000US080130121025,080130121025,"Block Group 5, Census Tract 121.02, Boulder County, Colorado",347,102
1500000US080130121031,080130121031,"Block Group 1, Census Tract 121.03, Boulder County, Colorado",406,62
1500000US080130121032,080130121032,"Block Group 2, Census Tract 121.03, Boulder County, Colorado",344,53
1500000US080130121033,080130121033,"Block Group 3, Census Tract 121.03, Boulder County, Colorado",966,66
1500000US080130121041,080130121041,"Block Group 1, Census Tract 121.04, Boulder County, Colorado",579,72
1500000US080130121042,080130121042,"Block Group 2, Census Tract 121.04, Boulder County, Colorado",580,73
1500000US080130121051,080130121051,"Block Group 1, Census Tract 121.05, Boulder County, Colorado",717,123
1500000US080130121052,080130121052,"Block Group 2, Census Tract 121.05, Boulder County, Colorado",858,165
1500000US080130121053,080130121053,"Block Group 3, Census Tract 121.05, Boulder County, Colorado",462,88
1500000US080130121054,080130121054,"Block Group 4, Census Tract 121.05, Boulder County, Colorado",441,70
1500000US080130122011,080130122011,"Block Group 1, Census Tract 122.01, Boulder County, Colorado",399,66
1500000US080130122012,080130122012,"Block Group 2, Census Tract 122.01, Boulder County, Colorado",621,88
1500000US080130122013,080130122013,"Block Group 3, Census Tract 122.01, Boulder County, Colorado",720,76
1500000US080130122021,080130122021,"Block Group 1, Census Tract 122.02, Boulder County, Colorado",549,113
1500000US080130122022,080130122022,"Block Group 2, Census Tract 122.02, Boulder County, Colorado",1109,161
1500000US080130122023,080130122023,"Block Group 3, Census Tract 122.02, Boulder County, Colorado",1127,191
1500000US080130122024,080130122024,"Block Group 4, Census Tract 122.02, Boulder County, Colorado",633,144
1500000US080130122031,080130122031,"Block Group 1, Census Tract 122.03, Boulder County, Colorado",534,143
1500000US080130122032,080130122032,"Block Group 2, Census Tract 122.03, Boulder County, Colorado",1570,182
