,GEO.id,HD01_VD01_x,HD01_VD01_y,HD01_VD01,HD01_VD22,HD01_VD23,GEO.id2,GEO.display-label,Alternate Commuters
1,1500000US080130121011,856,87205,470,209,160,80130121011,"Block Group 1, Census Tract 121.01, Boulder County, Colorado",124
2,1500000US080130121012,1518,121174,619,376,372,80130121012,"Block Group 2, Census Tract 121.01, Boulder County, Colorado",100
3,1500000US080130121013,1202,80288,554,195,342,80130121013,"Block Group 3, Census Tract 121.01, Boulder County, Colorado",193
4,1500000US080130121014,1277,91250,480,242,289,80130121014,"Block Group 4, Census Tract 121.01, Boulder County, Colorado",188
5,1500000US080130121021,1715,43929,868,456,265,80130121021,"Block Group 1, Census Tract 121.02, Boulder County, Colorado",471
6,1500000US080130121022,1551,115298,563,356,340,80130121022,"Block Group 2, Census Tract 121.02, Boulder County, Colorado",354
7,1500000US080130121023,1807,85694,683,509,344,80130121023,"Block Group 3, Census Tract 121.02, Boulder County, Colorado",430
8,1500000US080130121024,1465,63269,690,440,239,80130121024,"Block Group 4, Census Tract 121.02, Boulder County, Colorado",236
9,1500000US080130121025,774,106375,347,206,107,80130121025,"Block Group 5, Census Tract 121.02, Boulder County, Colorado",97
10,1500000US080130121031,1056,140278,406,257,155,80130121031,"Block Group 1, Census Tract 121.03, Boulder County, Colorado",36
11,1500000US080130121032,919,146719,344,351,72,80130121032,"Block Group 2, Census Tract 121.03, Boulder County, Colorado",38
12,1500000US080130121033,1982,55550,966,607,304,80130121033,"Block Group 3, Census Tract 121.03, Boulder County, Colorado",211
13,1500000US080130121041,1226,93438,579,371,206,80130121041,"Block Group 1, Census Tract 121.04, Boulder County, Colorado",34
14,1500000US080130121042,1476,120833,580,281,389,80130121042,"Block Group 2, Census Tract 121.04, Boulder County, Colorado",109
15,1500000US080130121051,1236,83487,717,359,167,80130121051,"Block Group 1, Census Tract 121.05, Boulder County, Colorado",219
16,1500000US080130121052,2015,47350,858,213,155,80130121052,"Block Group 2, Census Tract 121.05, Boulder County, Colorado",160
17,1500000US080130121053,1436,138611,462,349,424,80130121053,"Block Group 3, Census Tract 121.05, Boulder County, Colorado",159
18,1500000US080130121054,1106,83214,441,291,193,80130121054,"Block Group 4, Census Tract 121.05, Boulder County, Colorado",65
19,1500000US080130122011,705,40764,399,191,194,80130122011,"Block Group 1, Census Tract 122.01, Boulder County, Colorado",206
20,1500000US080130122012,1617,49844,621,321,152,80130122012,"Block Group 2, Census Tract 122.01, Boulder County, Colorado",441
21,1500000US080130122013,1383,106818,720,364,253,80130122013,"Block Group 3, Census Tract 122.01, Boulder County, Colorado",177
22,1500000US080130122021,1121,55577,549,298,149,80130122021,"Block Group 1, Census Tract 122.02, Boulder County, Colorado",351
23,1500000US080130122022,1945,40515,1109,363,324,80130122022,"Block Group 2, Census Tract 122.02, Boulder County, Colorado",643
24,1500000US080130122023,2324,19031,1127,347,87,80130122023,"Block Group 3, Census Tract 122.02, Boulder County, Colorado",644
25,1500000US080130122024,1149,36694,633,44,57,80130122024,"Block Group 4, Census Tract 122.02, Boulder County, Colorado",389
26,1500000US080130122031,1233,51090,534,254,127,80130122031,"Block Group 1, Census Tract 122.03, Boulder County, Colorado",73
27,1500000US080130122032,2592,63810,1570,483,485,80130122032,"Block Group 2, Census Tract 122.03, Boulder County, Colorado",262
28,1500000US080130122033,1937,36912,1227,452,271,80130122033,"Block Group 3, Census Tract 122.03, Boulder County, Colorado",330
29,1500000US080130122034,831,54079,558,303,44,80130122034,"Block Group 4, Census Tract 122.03, Boulder County, Colorado",213
30,1500000US080130122041,896,43594,577,365,108,80130122041,"Block Group 1, Census Tract 122.04, Boulder County, Colorado",246
31,1500000US080130122042,1648,16280,758,102,87,80130122042,"Block Group 2, Census Tract 122.04, Boulder County, Colorado",345
32,1500000US080130122043,1117,70333,653,334,142,80130122043,"Block Group 3, Census Tract 122.04, Boulder County, Colorado",405
33,1500000US080130123001,4960,-,8,12,15,80130123001,"Block Group 1, Census Tract 123, Boulder County, Colorado",457
34,1500000US080130123002,1891,32208,793,227,315,80130123002,"Block Group 2, Census Tract 123, Boulder County, Colorado",713
35,1500000US080130124011,1354,9583,447,0,0,80130124011,"Block Group 1, Census Tract 124.01, Boulder County, Colorado",267
36,1500000US080130124012,1816,16398,724,69,101,80130124012,"Block Group 2, Census Tract 124.01, Boulder County, Colorado",476
37,1500000US080130124013,874,144250,298,224,145,80130124013,"Block Group 3, Census Tract 124.01, Boulder County, Colorado",95
38,1500000US080130124014,2274,18869,676,28,84,80130124014,"Block Group 4, Census Tract 124.01, Boulder County, Colorado",255
39,1500000US080130125011,1748,55714,850,390,316,80130125011,"Block Group 1, Census Tract 125.01, Boulder County, Colorado",278
40,1500000US080130125012,778,63229,380,125,73,80130125012,"Block Group 2, Census Tract 125.01, Boulder County, Colorado",46
41,1500000US080130125051,895,,328,163,155,80130125051,"Block Group 1, Census Tract 125.05, Boulder County, Colorado",129
42,1500000US080130125052,2400,91705,1172,514,444,80130125052,"Block Group 2, Census Tract 125.05, Boulder County, Colorado",327
43,1500000US080130125053,642,104688,293,162,128,80130125053,"Block Group 3, Census Tract 125.05, Boulder County, Colorado",33
44,1500000US080130125071,1480,47250,571,179,237,80130125071,"Block Group 1, Census Tract 125.07, Boulder County, Colorado",330
45,1500000US080130125072,1668,50652,808,307,247,80130125072,"Block Group 2, Census Tract 125.07, Boulder County, Colorado",462
46,1500000US080130125073,1172,82803,399,311,130,80130125073,"Block Group 3, Census Tract 125.07, Boulder County, Colorado",215
47,1500000US080130125081,930,98684,406,229,131,80130125081,"Block Group 1, Census Tract 125.08, Boulder County, Colorado",185
48,1500000US080130125082,1115,58315,654,241,180,80130125082,"Block Group 2, Census Tract 125.08, Boulder County, Colorado",148
49,1500000US080130125083,1024,61019,317,165,30,80130125083,"Block Group 3, Census Tract 125.08, Boulder County, Colorado",152
50,1500000US080130125091,857,89740,317,170,106,80130125091,"Block Group 1, Census Tract 125.09, Boulder County, Colorado",93
51,1500000US080130125092,1850,95333,693,519,367,80130125092,"Block Group 2, Census Tract 125.09, Boulder County, Colorado",194
52,1500000US080130125093,792,84000,300,141,144,80130125093,"Block Group 3, Census Tract 125.09, Boulder County, Colorado",60
53,1500000US080130125101,624,170357,228,109,100,80130125101,"Block Group 1, Census Tract 125.10, Boulder County, Colorado",31
54,1500000US080130125102,1086,142353,435,268,266,80130125102,"Block Group 2, Census Tract 125.10, Boulder County, Colorado",107
55,1500000US080130125103,2029,105034,919,655,319,80130125103,"Block Group 3, Census Tract 125.10, Boulder County, Colorado",243
56,1500000US080130125104,1002,119677,430,333,194,80130125104,"Block Group 4, Census Tract 125.10, Boulder County, Colorado",156
57,1500000US080130125111,1759,41211,931,370,296,80130125111,"Block Group 1, Census Tract 125.11, Boulder County, Colorado",169
58,1500000US080130125112,1807,63542,877,333,292,80130125112,"Block Group 2, Census Tract 125.11, Boulder County, Colorado",261
59,1500000US080130125113,2100,16250,173,0,5,80130125113,"Block Group 3, Census Tract 125.11, Boulder County, Colorado",398
60,1500000US080130126031,2287,84542,1141,585,302,80130126031,"Block Group 1, Census Tract 126.03, Boulder County, Colorado",256
61,1500000US080130126032,1039,106750,400,248,165,80130126032,"Block Group 2, Census Tract 126.03, Boulder County, Colorado",102
62,1500000US080130126051,516,38571,216,60,114,80130126051,"Block Group 1, Census Tract 126.05, Boulder County, Colorado",198
63,1500000US080130126052,1204,32287,562,104,91,80130126052,"Block Group 2, Census Tract 126.05, Boulder County, Colorado",230
64,1500000US080130126071,1051,16173,942,72,40,80130126071,"Block Group 1, Census Tract 126.07, Boulder County, Colorado",186
65,1500000US080130126072,1365,21637,849,48,41,80130126072,"Block Group 2, Census Tract 126.07, Boulder County, Colorado",268
66,1500000US080130126073,917,21848,580,119,94,80130126073,"Block Group 3, Census Tract 126.07, Boulder County, Colorado",269
67,1500000US080130126074,1537,34762,784,185,180,80130126074,"Block Group 4, Census Tract 126.07, Boulder County, Colorado",430
68,1500000US080130126081,2500,62328,1009,697,342,80130126081,"Block Group 1, Census Tract 126.08, Boulder County, Colorado",308
69,1500000US080130127011,533,156667,224,182,51,80130127011,"Block Group 1, Census Tract 127.01, Boulder County, Colorado",10
70,1500000US080130127012,1258,127098,514,450,157,80130127012,"Block Group 2, Census Tract 127.01, Boulder County, Colorado",50
71,1500000US080130127013,2487,153563,910,791,289,80130127013,"Block Group 3, Census Tract 127.01, Boulder County, Colorado",131
72,1500000US080130127014,1368,85167,746,365,250,80130127014,"Block Group 4, Census Tract 127.01, Boulder County, Colorado",71
73,1500000US080130127051,1222,45568,793,329,179,80130127051,"Block Group 1, Census Tract 127.05, Boulder County, Colorado",116
74,1500000US080130127052,1941,66202,1119,794,342,80130127052,"Block Group 2, Census Tract 127.05, Boulder County, Colorado",126
75,1500000US080130127053,650,114605,237,227,100,80130127053,"Block Group 3, Census Tract 127.05, Boulder County, Colorado",45
76,1500000US080130127071,1657,49886,403,136,88,80130127071,"Block Group 1, Census Tract 127.07, Boulder County, Colorado",24
77,1500000US080130127072,746,124107,306,183,113,80130127072,"Block Group 2, Census Tract 127.07, Boulder County, Colorado",15
78,1500000US080130127081,1403,78511,564,394,160,80130127081,"Block Group 1, Census Tract 127.08, Boulder County, Colorado",80
79,1500000US080130127082,645,230069,311,304,138,80130127082,"Block Group 2, Census Tract 127.08, Boulder County, Colorado",34
80,1500000US080130127083,2507,95897,1109,818,481,80130127083,"Block Group 3, Census Tract 127.08, Boulder County, Colorado",12
81,1500000US080130127084,734,121375,329,135,133,80130127084,"Block Group 4, Census Tract 127.08, Boulder County, Colorado",7
82,1500000US080130127091,1843,95250,721,443,277,80130127091,"Block Group 1, Census Tract 127.09, Boulder County, Colorado",58
83,1500000US080130127101,421,86042,171,122,31,80130127101,"Block Group 1, Census Tract 127.10, Boulder County, Colorado",23
84,1500000US080130127102,1728,75417,815,496,215,80130127102,"Block Group 2, Census Tract 127.10, Boulder County, Colorado",155
85,1500000US080130127103,1479,134583,589,485,228,80130127103,"Block Group 3, Census Tract 127.10, Boulder County, Colorado",47
86,1500000US080130128001,1262,165000,459,309,210,80130128001,"Block Group 1, Census Tract 128, Boulder County, Colorado",48
87,1500000US080130128002,2282,108929,796,466,231,80130128002,"Block Group 2, Census Tract 128, Boulder County, Colorado",32
88,1500000US080130128003,4833,122159,1503,1068,587,80130128003,"Block Group 3, Census Tract 128, Boulder County, Colorado",102
89,1500000US080130128004,1553,128259,609,467,293,80130128004,"Block Group 4, Census Tract 128, Boulder County, Colorado",48
90,1500000US080130128005,1637,95769,614,277,204,80130128005,"Block Group 5, Census Tract 128, Boulder County, Colorado",40
91,1500000US080130129031,2347,125750,964,674,480,80130129031,"Block Group 1, Census Tract 129.03, Boulder County, Colorado",48
92,1500000US080130129041,2176,70864,880,550,269,80130129041,"Block Group 1, Census Tract 129.04, Boulder County, Colorado",34
93,1500000US080130129042,3338,91573,1493,953,468,80130129042,"Block Group 2, Census Tract 129.04, Boulder County, Colorado",141
94,1500000US080130129051,1816,52829,730,253,209,80130129051,"Block Group 1, Census Tract 129.05, Boulder County, Colorado",66
95,1500000US080130129052,744,56146,438,218,65,80130129052,"Block Group 2, Census Tract 129.05, Boulder County, Colorado",24
96,1500000US080130129071,2002,87583,857,557,154,80130129071,"Block Group 1, Census Tract 129.07, Boulder County, Colorado",46
97,1500000US080130129072,1266,75313,468,262,169,80130129072,"Block Group 2, Census Tract 129.07, Boulder County, Colorado",101
98,1500000US080130130031,1682,97976,632,415,269,80130130031,"Block Group 1, Census Tract 130.03, Boulder County, Colorado",23
99,1500000US080130130032,346,81510,161,147,50,80130130032,"Block Group 2, Census Tract 130.03, Boulder County, Colorado",47
100,1500000US080130130033,731,111974,338,219,176,80130130033,"Block Group 3, Census Tract 130.03, Boulder County, Colorado",33
101,1500000US080130130034,2792,60821,1314,668,369,80130130034,"Block Group 4, Census Tract 130.03, Boulder County, Colorado",195
102,1500000US080130130041,1307,110521,409,310,131,80130130041,"Block Group 1, Census Tract 130.04, Boulder County, Colorado",7
103,1500000US080130130042,2378,123000,864,512,567,80130130042,"Block Group 2, Census Tract 130.04, Boulder County, Colorado",98
104,1500000US080130130051,1554,61434,659,433,183,80130130051,"Block Group 1, Census Tract 130.05, Boulder County, Colorado",65
105,1500000US080130130052,1979,93750,749,448,327,80130130052,"Block Group 2, Census Tract 130.05, Boulder County, Colorado",134
106,1500000US080130130061,1362,80699,547,352,268,80130130061,"Block Group 1, Census Tract 130.06, Boulder County, Colorado",121
107,1500000US080130130062,1162,101484,561,286,259,80130130062,"Block Group 2, Census Tract 130.06, Boulder County, Colorado",75
108,1500000US080130130063,2770,104050,1189,804,439,80130130063,"Block Group 3, Census Tract 130.06, Boulder County, Colorado",183
109,1500000US080130132011,1572,74083,668,318,144,80130132011,"Block Group 1, Census Tract 132.01, Boulder County, Colorado",24
110,1500000US080130132021,817,102361,350,195,80,80130132021,"Block Group 1, Census Tract 132.02, Boulder County, Colorado",25
111,1500000US080130132022,645,128077,258,183,96,80130132022,"Block Group 2, Census Tract 132.02, Boulder County, Colorado",37
112,1500000US080130132051,1310,112321,546,446,205,80130132051,"Block Group 1, Census Tract 132.05, Boulder County, Colorado",33
113,1500000US080130132052,3406,90652,1239,918,330,80130132052,"Block Group 2, Census Tract 132.05, Boulder County, Colorado",94
114,1500000US080130132053,878,126275,317,203,127,80130132053,"Block Group 3, Census Tract 132.05, Boulder County, Colorado",14
115,1500000US080130132071,2056,81750,830,435,233,80130132071,"Block Group 1, Census Tract 132.07, Boulder County, Colorado",18
116,1500000US080130132072,828,45000,488,159,39,80130132072,"Block Group 2, Census Tract 132.07, Boulder County, Colorado",23
117,1500000US080130132073,1418,106528,578,289,186,80130132073,"Block Group 3, Census Tract 132.07, Boulder County, Colorado",14
118,1500000US080130132081,2407,54617,1100,429,206,80130132081,"Block Group 1, Census Tract 132.08, Boulder County, Colorado",30
119,1500000US080130132082,828,78125,319,155,150,80130132082,"Block Group 2, Census Tract 132.08, Boulder County, Colorado",11
120,1500000US080130132083,2037,64306,1131,444,123,80130132083,"Block Group 3, Census Tract 132.08, Boulder County, Colorado",103
121,1500000US080130132101,1708,66406,614,171,94,80130132101,"Block Group 1, Census Tract 132.10, Boulder County, Colorado",24
122,1500000US080130132102,1866,50583,643,228,70,80130132102,"Block Group 2, Census Tract 132.10, Boulder County, Colorado",76
123,1500000US080130132103,1379,80052,550,138,153,80130132103,"Block Group 3, Census Tract 132.10, Boulder County, Colorado",108
124,1500000US080130132111,2566,120900,1020,666,295,80130132111,"Block Group 1, Census Tract 132.11, Boulder County, Colorado",92
125,1500000US080130132112,2030,99205,842,575,138,80130132112,"Block Group 2, Census Tract 132.11, Boulder County, Colorado",1
126,1500000US080130132113,1603,22631,393,78,0,80130132113,"Block Group 3, Census Tract 132.11, Boulder County, Colorado",0
127,1500000US080130132121,673,54632,301,184,29,80130132121,"Block Group 1, Census Tract 132.12, Boulder County, Colorado",0
128,1500000US080130132122,1658,113750,546,347,168,80130132122,"Block Group 2, Census Tract 132.12, Boulder County, Colorado",14
129,1500000US080130132123,2200,72153,1066,700,245,80130132123,"Block Group 3, Census Tract 132.12, Boulder County, Colorado",81
130,1500000US080130132131,3360,97500,1386,771,576,80130132131,"Block Group 1, Census Tract 132.13, Boulder County, Colorado",58
131,1500000US080130132132,3515,51667,1342,717,215,80130132132,"Block Group 2, Census Tract 132.13, Boulder County, Colorado",84
132,1500000US080130132133,1012,135703,303,261,150,80130132133,"Block Group 3, Census Tract 132.13, Boulder County, Colorado",23
133,1500000US080130133021,838,41809,527,218,15,80130133021,"Block Group 1, Census Tract 133.02, Boulder County, Colorado",145
134,1500000US080130133022,878,41053,457,188,40,80130133022,"Block Group 2, Census Tract 133.02, Boulder County, Colorado",134
135,1500000US080130133023,656,46563,338,123,89,80130133023,"Block Group 3, Census Tract 133.02, Boulder County, Colorado",17
136,1500000US080130133024,755,69063,304,96,143,80130133024,"Block Group 4, Census Tract 133.02, Boulder County, Colorado",0
137,1500000US080130133025,1556,74327,701,320,182,80130133025,"Block Group 5, Census Tract 133.02, Boulder County, Colorado",137
138,1500000US080130133051,1553,68152,490,143,51,80130133051,"Block Group 1, Census Tract 133.05, Boulder County, Colorado",9
139,1500000US080130133052,1736,48158,801,198,68,80130133052,"Block Group 2, Census Tract 133.05, Boulder County, Colorado",27
140,1500000US080130133053,1525,61116,692,273,66,80130133053,"Block Group 3, Census Tract 133.05, Boulder County, Colorado",71
141,1500000US080130133061,2502,46970,883,305,65,80130133061,"Block Group 1, Census Tract 133.06, Boulder County, Colorado",58
142,1500000US080130133062,2593,49508,861,252,117,80130133062,"Block Group 2, Census Tract 133.06, Boulder County, Colorado",70
143,1500000US080130133071,1736,43571,828,184,103,80130133071,"Block Group 1, Census Tract 133.07, Boulder County, Colorado",75
144,1500000US080130133072,1724,30692,854,230,78,80130133072,"Block Group 2, Census Tract 133.07, Boulder County, Colorado",30
145,1500000US080130133081,695,69432,359,163,32,80130133081,"Block Group 1, Census Tract 133.08, Boulder County, Colorado",27
146,1500000US080130133082,2183,30731,1009,234,86,80130133082,"Block Group 2, Census Tract 133.08, Boulder County, Colorado",109
147,1500000US080130133083,559,54643,321,47,35,80130133083,"Block Group 3, Census Tract 133.08, Boulder County, Colorado",31
148,1500000US080130134011,1414,24219,494,101,18,80130134011,"Block Group 1, Census Tract 134.01, Boulder County, Colorado",0
149,1500000US080130134012,853,51875,415,156,69,80130134012,"Block Group 2, Census Tract 134.01, Boulder County, Colorado",95
150,1500000US080130134013,1408,40549,574,228,131,80130134013,"Block Group 3, Census Tract 134.01, Boulder County, Colorado",192
151,1500000US080130134021,1286,64697,448,55,0,80130134021,"Block Group 1, Census Tract 134.02, Boulder County, Colorado",0
152,1500000US080130134022,873,72344,352,77,20,80130134022,"Block Group 2, Census Tract 134.02, Boulder County, Colorado",51
153,1500000US080130134023,2487,90469,1045,557,248,80130134023,"Block Group 3, Census Tract 134.02, Boulder County, Colorado",29
154,1500000US080130134024,610,96544,225,118,100,80130134024,"Block Group 4, Census Tract 134.02, Boulder County, Colorado",0
155,1500000US080130134025,2656,40957,798,88,127,80130134025,"Block Group 5, Census Tract 134.02, Boulder County, Colorado",122
156,1500000US080130135031,791,67679,291,53,0,80130135031,"Block Group 1, Census Tract 135.03, Boulder County, Colorado",49
157,1500000US080130135032,1558,34531,529,61,13,80130135032,"Block Group 2, Census Tract 135.03, Boulder County, Colorado",53
158,1500000US080130135033,2432,37147,834,121,59,80130135033,"Block Group 3, Census Tract 135.03, Boulder County, Colorado",70
159,1500000US080130135034,845,62240,341,173,42,80130135034,"Block Group 4, Census Tract 135.03, Boulder County, Colorado",37
160,1500000US080130135051,1135,33833,366,51,13,80130135051,"Block Group 1, Census Tract 135.05, Boulder County, Colorado",21
161,1500000US080130135052,1763,42586,624,41,44,80130135052,"Block Group 2, Census Tract 135.05, Boulder County, Colorado",131
162,1500000US080130135053,2136,35208,748,102,24,80130135053,"Block Group 3, Census Tract 135.05, Boulder County, Colorado",28
163,1500000US080130135061,4265,100263,1428,753,331,80130135061,"Block Group 1, Census Tract 135.06, Boulder County, Colorado",105
164,1500000US080130135071,1533,49375,536,157,63,80130135071,"Block Group 1, Census Tract 135.07, Boulder County, Colorado",42
165,1500000US080130135072,1718,89286,616,243,98,80130135072,"Block Group 2, Census Tract 135.07, Boulder County, Colorado",16
166,1500000US080130135081,3436,85000,974,683,254,80130135081,"Block Group 1, Census Tract 135.08, Boulder County, Colorado",92
167,1500000US080130135082,1914,105865,863,393,390,80130135082,"Block Group 2, Census Tract 135.08, Boulder County, Colorado",50
168,1500000US080130135083,1967,73750,660,318,114,80130135083,"Block Group 3, Census Tract 135.08, Boulder County, Colorado",29
169,1500000US080130136011,1640,97969,715,465,187,80130136011,"Block Group 1, Census Tract 136.01, Boulder County, Colorado",17
170,1500000US080130136012,1800,81806,764,472,192,80130136012,"Block Group 2, Census Tract 136.01, Boulder County, Colorado",92
171,1500000US080130136013,704,80217,299,112,94,80130136013,"Block Group 3, Census Tract 136.01, Boulder County, Colorado",98
172,1500000US080130136021,588,68333,801,164,110,80130136021,"Block Group 1, Census Tract 136.02, Boulder County, Colorado",5
173,1500000US080130136022,396,67833,615,81,55,80130136022,"Block Group 2, Census Tract 136.02, Boulder County, Colorado",35
174,1500000US080130137011,3467,106786,1369,850,569,80130137011,"Block Group 1, Census Tract 137.01, Boulder County, Colorado",248
175,1500000US080130137012,1016,201667,362,216,144,80130137012,"Block Group 2, Census Tract 137.01, Boulder County, Colorado",26
176,1500000US080130137013,905,157460,516,290,143,80130137013,"Block Group 3, Census Tract 137.01, Boulder County, Colorado",0
177,1500000US080130137014,1216,103333,803,352,87,80130137014,"Block Group 4, Census Tract 137.01, Boulder County, Colorado",40
178,1500000US080130137021,950,101607,422,279,166,80130137021,"Block Group 1, Census Tract 137.02, Boulder County, Colorado",15
179,1500000US080130137022,1469,86280,702,410,288,80130137022,"Block Group 2, Census Tract 137.02, Boulder County, Colorado",0
180,1500000US080130137023,804,77656,488,293,61,80130137023,"Block Group 3, Census Tract 137.02, Boulder County, Colorado",66
181,1500000US080130137024,769,102273,477,191,114,80130137024,"Block Group 4, Census Tract 137.02, Boulder County, Colorado",0
182,1500000US080130137025,829,60398,379,160,79,80130137025,"Block Group 5, Census Tract 137.02, Boulder County, Colorado",81
183,1500000US080130137026,959,47760,568,200,171,80130137026,"Block Group 6, Census Tract 137.02, Boulder County, Colorado",236
184,1500000US080130137027,303,,358,92,38,80130137027,"Block Group 7, Census Tract 137.02, Boulder County, Colorado",44
185,1500000US080130606001,821,113317,417,271,165,80130606001,"Block Group 1, Census Tract 606, Boulder County, Colorado",45
186,1500000US080130606002,2261,123295,795,588,471,80130606002,"Block Group 2, Census Tract 606, Boulder County, Colorado",74
187,1500000US080130606003,2478,80018,1191,655,399,80130606003,"Block Group 3, Census Tract 606, Boulder County, Colorado",99
188,1500000US080130607001,624,144773,216,115,96,80130607001,"Block Group 1, Census Tract 607, Boulder County, Colorado",23
189,1500000US080130607002,1220,96767,584,403,159,80130607002,"Block Group 2, Census Tract 607, Boulder County, Colorado",45
190,1500000US080130607003,1285,101094,631,427,255,80130607003,"Block Group 3, Census Tract 607, Boulder County, Colorado",54
191,1500000US080130608001,101,156058,56,0,13,80130608001,"Block Group 1, Census Tract 608, Boulder County, Colorado",0
192,1500000US080130608002,765,51167,316,223,81,80130608002,"Block Group 2, Census Tract 608, Boulder County, Colorado",14
193,1500000US080130608003,1815,73110,732,219,202,80130608003,"Block Group 3, Census Tract 608, Boulder County, Colorado",46
194,1500000US080130608004,734,39188,345,90,29,80130608004,"Block Group 4, Census Tract 608, Boulder County, Colorado",20
195,1500000US080130608005,3447,41212,1545,484,92,80130608005,"Block Group 5, Census Tract 608, Boulder County, Colorado",109
196,1500000US080130609001,2549,53986,1156,643,233,80130609001,"Block Group 1, Census Tract 609, Boulder County, Colorado",151
197,1500000US080130609002,2010,90469,741,388,357,80130609002,"Block Group 2, Census Tract 609, Boulder County, Colorado",48
198,1500000US080130613001,1726,145673,488,447,260,80130613001,"Block Group 1, Census Tract 613, Boulder County, Colorado",50
199,1500000US080130613002,1889,161034,564,330,370,80130613002,"Block Group 2, Census Tract 613, Boulder County, Colorado",33
200,1500000US080130614001,3752,137560,1241,914,612,80130614001,"Block Group 1, Census Tract 614, Boulder County, Colorado",56
201,1500000US390490001101,1165,61375,650,379,111,3.90E+11,"Block Group 1, Census Tract 1.10, Franklin County, Ohio",0
202,1500000US390490001102,1038,76204,491,240,196,3.90E+11,"Block Group 2, Census Tract 1.10, Franklin County, Ohio",33
203,1500000US390490001103,551,61250,315,136,68,3.90E+11,"Block Group 3, Census Tract 1.10, Franklin County, Ohio",21
204,1500000US390490001104,881,102361,367,237,187,3.90E+11,"Block Group 4, Census Tract 1.10, Franklin County, Ohio",18
205,1500000US390490001201,854,123063,405,236,197,3.90E+11,"Block Group 1, Census Tract 1.20, Franklin County, Ohio",59
206,1500000US390490001202,1704,76688,878,459,231,3.90E+11,"Block Group 2, Census Tract 1.20, Franklin County, Ohio",86
207,1500000US390490001203,681,102143,377,164,183,3.90E+11,"Block Group 3, Census Tract 1.20, Franklin County, Ohio",16
208,1500000US390490002101,1160,101136,450,255,150,3.90E+11,"Block Group 1, Census Tract 2.10, Franklin County, Ohio",36
