No,State,StationID,Address,Latitude,Longitude,Total Annual Trips,Average Monthly Trips,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
1,TN,"1,297",100 Manufacturers Rd,35.063014,-85.310469,902,75,309.7066463,2411.890909,1501.413903,11835.76726,209.7136214,2902.630687,806.8856546,3718.719232,175.1079805,2802.526426
2,TN,"1,299",200 River St,35.06141,-85.306574,3021,252,386.3468278,603.3345667,1505.138816,8207.315858,172.2887152,3417.190511,824.6783632,2699.84058,121.8249095,1486.950201
3,TN,"1,301",301 Manufacturers Rd,35.063304,-85.315211,139,12,342.6743252,464.4373176,1489.31728,12744.23534,238.5402298,835.8135161,735.3609361,8761.915069,172.7417894,2682.069437
4,TN,"1,303",215 Broad St,35.053928,-85.310925,1295,108,261.591809,193.817184,1460.014281,31396.20396,144.3787458,18073.67797,936.7496298,11619.21685,117.2940962,1509.491957
5,TN,"1,305",Market St & E 14th St,35.036904,-85.307269,785,65,779.081044,324.8479386,3000.334382,14436.93933,320.696613,5741.777256,1633.737807,7832.501386,266.818918,537.812747
6,TN,"1,307",Market St & E 4th St,35.052701,-85.309483,733,61,323.5511651,457.8066718,1782.078834,52925.62138,200.5609102,16874.35768,1118.161141,34143.83167,139.805618,1449.625355
7,TN,"1,309",Market St & W 12th St,35.042774,-85.309331,312,26,333.8774364,2918.836767,1440.09474,39033.97687,204.3621029,7087.382431,811.207365,26762.59644,90.64783544,2265.161223
8,TN,"1,311",Market St & Cowart St,35.040771,-85.308394,436,36,314.402978,1058.82182,1376.153992,26022.82388,203.8089962,6377.835592,771.4580321,16563.81861,86.48398581,2022.347852
9,TN,"1,313",Chestnut St & Riverfront Pkwy,35.056655,-85.310487,1294,108,255.3305386,23.66515345,1463.606196,13008.97029,148.4142666,11290.45267,937.8586982,740.919027,122.0026924,953.9334414
10,TN,"1,315",Carter St & W 12th St,35.043367,-85.312762,628,52,152.6279471,3140.083821,913.9067434,25972.34683,148.4924096,4587.177853,516.6870857,17372.70739,96.09930106,872.3777692
11,TN,"1,317",Broad St & W 6th St,35.049429,-85.310399,384,32,573.3492749,1757.68255,2873.053891,119210.2054,360.4642652,9246.539544,1684.968707,106846.349,254.2716435,1359.634339
12,TN,"1,319",100 Walnut St,35.055687,-85.307813,2398,200,278.7811444,381.1356472,1613.123108,10448.17408,163.9696635,8111.442243,1050.400176,1189.61304,119.9721238,765.983153
13,TN,"1,321",High St & E 2nd St,35.054161,-85.305448,1023,85,291.7977104,423.0363272,1517.722641,11284.41991,142.1831642,3088.589757,999.9084823,7666.360568,83.83328381,106.4332567
14,TN,"1,323",Power Alley & Riverfront Pkwy,35.055582,-85.312797,1592,133,69.91342267,9.388841023,415.2994947,14400.18695,25.68873934,11773.69218,284.9498376,1657.863055,34.74749501,959.2428666
15,TN,"1,325",Market St & M.L. King Blvd,35.045603,-85.309207,401,33,587.7803412,3252.619287,2677.263488,86951.44566,346.7685266,6411.69198,1513.435829,74093.82503,229.2787913,3193.309362
16,TN,"1,327",M.L. King Blvd & Lindsay St,35.044973,-85.307015,237,20,504.120745,976.5013916,2100.598088,36900.38978,269.5590896,3715.923595,1163.548566,29151.76886,163.3696874,3056.195929
17,TN,"1,329",McCallie Ave & Lindsay St,35.047319,-85.305834,102,9,788.5702522,460.0764415,4109.972178,51072.00022,583.3321869,1927.788327,2315.512743,47741.07662,422.5569963,943.0588254
18,TN,"1,331",E 5th St & Collins St,35.047862,-85.297186,41,3,233.6302115,13137.44645,1228.822448,14690.39459,202.5159247,1227.096345,646.9370266,302.9631636,145.7392855,22.88863192
19,TN,"1,333",800 E 8th St,35.043639,-85.297988,94,8,925.1873743,16441.16513,5573.502702,19774.99255,867.2468109,1528.753377,3085.186167,1538.39082,695.882349,266.6832287
20,TN,"1,335",Oak St & University Greenway,35.045057,-85.296087,135,11,543.3308041,7835.113797,3180.591984,10556.16367,440.7085955,734.5815277,1793.568896,1568.165474,402.9836888,418.3028764
21,TN,"1,337",Oak St & Houston St,35.047574,-85.302739,87,7,714.0942511,14944.27996,4156.437417,22622.70874,668.1014902,1653.357037,2305.736765,5831.90347,468.5049103,193.168281
22,TN,"1,363",Broad St & W 10th St,35.044458,-85.310458,412,34,344.0099692,3902.134329,1423.281515,49663.57134,205.3988777,7467.93002,783.7759069,35921.51055,90.09676108,2371.996445
23,TN,"1,341",E Main St & Rossville Ave,35.035217,-85.305187,481,40,527.3872524,43.14592069,2076.453603,10979.30863,266.7051088,2625.470591,1082.401868,7869.314684,199.959374,441.377429
24,TN,"1,343",Broad St & W 4th St,35.05251,-85.310874,1040,87,107.5917809,139.5834028,644.8172835,59379.91943,91.30344172,18441.24943,409.7844174,39278.7433,36.13764358,1520.343303
25,TN,"1,345",Broad St & W 8th St,35.047205,-85.310675,655,55,691.2029793,2275.557006,3313.521659,114964.5145,428.2509762,5911.127259,1909.3724,105333.7301,284.6953037,1444.100138
26,TN,"1,347",W Main St & Cowart St,35.037381,-85.310411,372,31,735.3964045,375.7275343,2919.284422,30096.17264,373.8876542,6089.843955,1573.724656,23021.78004,236.2757071,608.8211026
27,TN,"1,349",1216 Broad St,35.040549,-85.309554,461,38,230.5925617,1109.242867,1027.47342,25831.1932,146.389734,7250.455953,583.5227059,15015.28136,66.96841874,2456.213024
28,TN,"1,351",1826 Carter St,35.037433,-85.315093,188,16,15.97441034,100.0143919,134.9596491,19223.18656,23.9167669,784.6686857,89.24446937,17898.83384,5.824002456,439.6696497
29,TN,"1,353",500 Georgia Ave,35.050771,-85.305346,151,13,728.4213386,493.7019909,3925.317292,39556.67451,520.8110304,931.2233603,2320.358816,37770.68958,355.7261076,361.0595834
30,TN,"1,369",Douglas St & Vine St,35.048285,-85.300237,255,21,468.989507,24222.05341,2514.351376,27278.70503,421.4934878,2136.733746,1371.356399,916.3755028,252.5119822,3.542374053
31,TN,"1,373",4310 Amnicola Hwy,35.096003,-85.254503,1522,127,,0.180830679,,1233.361171,,0,,1207.909118,,25.27122237
32,TN,"1,420",495 Riverfront Pkwy,35.053801,-85.32021,617,51,0,8.140047543,4.84460713,39427.91637,0,397.2629002,4.84460713,38962.54196,0,59.971462
33,OH,1,Bicentennial Park,39.955864,-83.003106,5643,470,450.9875634,9538.58051,2198.98391,62231.91513,246.6899814,1414.705419,1332.013766,50966.51224,169.2925993,312.1169645
34,OH,2,City Hall,39.963524,-83.002854,1650,138,564.7825499,1452.571401,2595.334938,164111.364,230.6384298,7149.600305,1623.167761,155006.1962,176.7461969,502.9960107
35,OH,3,Front St & Beck St,39.950124,-83.000235,843,70,1379.38747,6631.84948,5274.865308,63628.2299,420.8744504,5882.43085,3022.369731,49275.48086,452.2336567,1838.468713
36,OH,4,Scioto Audubon Center,39.945895,-83.00907,2050,171,0.095442361,0,0.190884721,10.91485449,0.095442361,0.477211803,0,10.43764269,0,0
37,OH,5,Dorrian Commons - Mound St,39.954717,-82.998879,589,49,596.0210321,21577.8022,2443.216686,89745.19166,288.7612666,2859.7746,1358.50334,64845.59127,199.9310474,462.023591
38,OH,6,Schiller Park - Stewart Ave,39.942026,-82.995019,929,77,1521.479036,218.4888908,6619.84344,7286.992257,741.9140484,3103.47347,3878.826279,3612.700563,477.6240755,352.3293331
