11th & Pearl,Apr-17,272
11th & Pearl,Aug-17,557
11th & Pearl,Dec-17,139
11th & Pearl,Feb-17,159
11th & Pearl,Jan-17,137
11th & Pearl,Jul-17,598
11th & Pearl,Jun-17,536
11th & Pearl,Mar-17,261
11th & Pearl,May-17,352
11th & Pearl,Nov-17,203
11th & Pearl,Oct-17,296
11th & Pearl,Sep-17,377
13th & Arapahoe,Apr-17,324
13th & Arapahoe,Aug-17,566
13th & Arapahoe,Dec-17,111
13th & Arapahoe,Feb-17,143
13th & Arapahoe,Jan-17,119
13th & Arapahoe,Jul-17,675
13th & Arapahoe,Jun-17,601
13th & Arapahoe,Mar-17,222
13th & Arapahoe,May-17,405
13th & Arapahoe,Nov-17,192
13th & Arapahoe,Oct-17,275
13th & Arapahoe,Sep-17,378
13th & College,Apr-17,102
13th & College,Aug-17,213
13th & College,Dec-17,43
13th & College,Feb-17,37
13th & College,Jan-17,35
13th & College,Jul-17,206
13th & College,Jun-17,161
13th & College,Mar-17,87
13th & College,May-17,119
13th & College,Nov-17,87
13th & College,Oct-17,138
13th & College,Sep-17,164
13th & Spruce,Apr-17,305
13th & Spruce,Aug-17,570
13th & Spruce,Dec-17,162
13th & Spruce,Feb-17,237
13th & Spruce,Jan-17,164
13th & Spruce,Jul-17,548
13th & Spruce,Jun-17,539
13th & Spruce,Mar-17,325
13th & Spruce,May-17,378
13th & Spruce,Nov-17,201
13th & Spruce,Oct-17,341
13th & Spruce,Sep-17,537
14th & Canyon,Apr-17,255
14th & Canyon,Aug-17,392
14th & Canyon,Dec-17,185
14th & Canyon,Feb-17,140
14th & Canyon,Jan-17,177
14th & Canyon,Jul-17,555
14th & Canyon,Jun-17,420
14th & Canyon,Mar-17,271
14th & Canyon,May-17,283
14th & Canyon,Nov-17,271
14th & Canyon,Oct-17,317
14th & Canyon,Sep-17,385
15th & Pearl,Apr-17,400
15th & Pearl,Aug-17,676
15th & Pearl,Dec-17,226
15th & Pearl,Feb-17,252
15th & Pearl,Jan-17,154
15th & Pearl,Jul-17,752
15th & Pearl,Jun-17,698
15th & Pearl,Mar-17,413
15th & Pearl,May-17,475
15th & Pearl,Nov-17,305
15th & Pearl,Oct-17,407
15th & Pearl,Sep-17,567
19th @ Boulder Creek,Apr-17,283
