State,Station Name,Month,Ridership,Average Rain,Average Temp
CO,11th & Pearl,Apr,272,2.5,49.1
CO,11th & Pearl,Aug,557,1.5,70.9
CO,11th & Pearl,Dec,139,0.7,33.4
CO,11th & Pearl,Feb,159,0.8,35.8
CO,11th & Pearl,Jan,137,0.7,32.5
CO,11th & Pearl,Jul,598,1.6,72.9
CO,11th & Pearl,Jun,536,2.1,67.1
CO,11th & Pearl,Mar,261,1.7,41
CO,11th & Pearl,May,352,3.1,57.9
CO,11th & Pearl,Nov,203,1.1,40.6
CO,11th & Pearl,Oct,296,1.2,52.9
CO,11th & Pearl,Sep,377,1.5,62.2
CO,13th & Arapahoe,Apr,324,2.5,49.1
CO,13th & Arapahoe,Aug,566,1.5,70.9
CO,13th & Arapahoe,Dec,111,0.7,33.4
CO,13th & Arapahoe,Feb,143,0.8,35.8
CO,13th & Arapahoe,Jan,119,0.7,32.5
CO,13th & Arapahoe,Jul,675,1.6,72.9
CO,13th & Arapahoe,Jun,601,2.1,67.1
CO,13th & Arapahoe,Mar,222,1.7,41
CO,13th & Arapahoe,May,405,3.1,57.9
CO,13th & Arapahoe,Nov,192,1.1,40.6
CO,13th & Arapahoe,Oct,275,1.2,52.9
CO,13th & Arapahoe,Sep,378,1.5,62.2
CO,13th & College,Apr,102,2.5,49.1
CO,13th & College,Aug,213,1.5,70.9
CO,13th & College,Dec,43,0.7,33.4
CO,13th & College,Feb,37,0.8,35.8
CO,13th & College,Jan,35,0.7,32.5
CO,13th & College,Jul,206,1.6,72.9
CO,13th & College,Jun,161,2.1,67.1
CO,13th & College,Mar,87,1.7,41
CO,13th & College,May,119,3.1,57.9
CO,13th & College,Nov,87,1.1,40.6
CO,13th & College,Oct,138,1.2,52.9
CO,13th & College,Sep,164,1.5,62.2
CO,13th & Spruce,Apr,305,2.5,49.1
CO,13th & Spruce,Aug,570,1.5,70.9
CO,13th & Spruce,Dec,162,0.7,33.4
CO,13th & Spruce,Feb,237,0.8,35.8
CO,13th & Spruce,Jan,164,0.7,32.5
CO,13th & Spruce,Jul,548,1.6,72.9
