,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
0,0,1528.3955261490003,161.93514403199998,5663.785180192001,2823.935687848,902.803613523,344.73474156599997,2503.2501421110005,1623.8725841239998,729.335898409,693.393218126
1,1,1440.2076508210002,148.96669836,5502.581419515,3215.403990301,860.588186274,1361.5167560070004,2519.4594493340005,1219.0064190510002,682.3261330859999,485.914116883
2,2,635.5538984469999,218.053023437,2696.620707036,6864.1090156810005,444.16714357499995,3350.8500479410004,1321.0172843970001,2533.934232965,295.882380617,761.2717113379999
3,3,219.711811554,164.163204807,985.5897533759999,6792.576446013,151.55013458399998,2271.7031779090003,484.87018759999995,1256.7890862380002,129.45761963799998,3099.9209770589996
4,4,846.8027211441013,1891.592154892,2837.607860553324,4475.7740451994705,336.204963613037,158.412880296,1311.7374817131458,1811.640306409388,342.8626940830395,614.1287036020816
5,5,693.026845031,1064.4060696249999,2885.590203833,3989.8090546920002,380.38239886099996,631.86553496,1401.438572381,1403.814014095,410.74238756,889.7234360120001
6,6,418.603563655,274.98710226899993,1521.4902646420003,4415.273363538001,237.78606812200002,185.89180473399998,650.2904923750002,2040.654830581,214.81014049,1913.739625954
7,7,127.37758493999999,395.385916506,616.0905536639998,13944.629223254999,93.07126509,391.26101470199995,312.846903876,9051.378026503,82.794799758,4106.604265544
8,8,697.6714476790992,6.191008902,3165.321111673421,1641.0762781780002,470.9110635640373,45.16913935000001,1533.9269527162107,1241.364475646,462.81164771407435,348.35165428
9,9,693.5402766500027,93.27082511,2483.1521184690155,365.782873395,269.3136897210011,43.05031076,1207.3105624650102,81.777267329,312.9875896330014,147.684470196
10,10,467.4346789890119,0.0,1625.7768464090523,67.538653153,199.9549893030071,0.0,721.3884739020285,67.538653153,236.99870421500478,0.0
11,11,302.43307662399997,7.241678942000001,1286.664089908,1564.7946506130002,161.51968738499997,1313.142025778,672.7026609099998,81.250100766,150.008664989,163.160845127
12,12,597.9280669012564,1076.7704625170047,2140.36853595993,13920.08117812606,290.0383130461282,0.0,974.4203898673532,12843.310715609057,277.98176614519207,0.0
13,13,370.8039721939999,9.7955997,1221.7204368809998,173.057497729,174.67801515699998,72.81395777,564.5136168759999,90.121420269,111.724832654,0.32651999
14,14,300.53661531800174,0.0,958.3844707900039,408.6316443490013,113.51091481700013,64.97262745000087,434.1190862880017,272.5923155410004,110.21785436700029,71.066701358
15,15,1189.040913717016,41.4614660460002,4410.875637874053,5952.752733163001,668.6413921020097,2009.824230923,2106.4450806090217,3023.606205882001,446.7482514460045,877.8608303120001
16,16,317.4816803450008,16.787555655000002,1176.6937185190027,1082.7665927040039,177.32751715300031,292.82505187000004,552.8747626680013,644.1176656790033,129.00975835300034,129.0363195000007
17,17,594.381346628,9.251509153,2382.9947388339997,575.484869529,296.125498149,161.02296616,1188.7629061439998,384.4935253,303.724987913,20.716868916000003
18,18,885.4263974439999,15.679231961,3436.183844618001,2865.592714963,521.623988628,235.109479372,1639.2236225890001,1663.7187015199997,389.9098359569999,951.0853021099999
19,19,110.61595152205314,308.819395396,553.4604682692658,8945.032831815139,78.77336896704026,21.95578944100644,280.67593097613855,7148.744369480983,83.39521680403382,1465.5132774971494
20,20,849.694190069,18.14595237,3903.695191922,2597.856848695,706.3968580059998,886.094212218,1804.705998405,862.760199325,542.8981454420001,830.8564847819999
21,21,405.58622349302055,64.521225039,1722.4720291080912,4285.842040261,146.67921464300488,2067.343676448,962.1805103920549,435.28085222100003,208.0260805800108,1718.696286553
22,22,443.64361828799997,5.00039543,1511.691600931,365.44835379399996,204.25493337999998,56.73649356200001,666.9083574279999,80.723189002,196.88469183499998,222.9882758
23,23,1100.3619306100816,15.299772879,3960.923508744408,94.81791493,502.07505117706796,27.085451809000002,1941.7062141152044,52.43269024200001,416.78031284205434,0.0
24,24,871.089046382,103.481026819,2439.210418059,811.377794072,281.37043737700003,87.379815355,1004.051059278,227.88953819299996,282.69987502199996,392.627413705
25,25,415.53267499800006,16.802109635,1357.510105389,196.85755792500004,208.846123912,12.497496088,560.3977372689999,167.55795220200002,172.73356921,0.0
26,26,886.9911871410001,13.479251244,3041.4624559399995,287.18346078200005,387.055833877,0.0,1426.4941406809999,273.70420953800004,340.92129424100006,0.0
27,27,1019.26129351,499.44628762599996,3300.0582915669997,652.7801195099998,435.6404826120001,0.0,1425.2313625290003,143.231338838,419.92515291599994,10.102493046
28,28,418.156213456,486.863558437,1272.9857549470003,830.1906917910001,216.11580174500003,257.31890825000005,499.97579576400005,76.492684353,138.73794398200002,9.515540751
29,29,1916.6589992982867,7.7520470999999995,5865.54762472466,234.49671548688684,794.4201434836735,0.0,2544.1882722053397,224.26401331488688,610.2802097373586,2.480655072
30,30,672.8713222210523,550.6295860100149,2540.298310852202,6501.98640733397,419.1109239490448,845.6141902990001,1177.1812765240747,4698.798999170926,271.1347881580299,406.94363185402983
31,31,572.4135544979999,0.0,2817.610698721001,2371.4230985319996,440.73341237999995,2.9068583919999997,1447.8181459240016,2326.6779503119997,356.645585919,41.83828982799999
32,32,716.8625994170455,5.491825369,3459.9457314603706,296.59576164,467.58074580107797,0.0,1712.2771058702015,291.10393627099995,563.2252803720455,0.0
33,33,628.441922014,299.58356638399994,2697.313650177,4947.191828319999,452.9001355440001,944.0612291789998,1254.5694261509998,2368.243183148,361.4021664680001,1335.3038496089998
34,34,286.37587603000003,20.384169758000002,968.9652509709999,1794.179774336,102.70286511200001,104.73911779,450.24353912999993,648.123451278,129.642970699,1020.9330355100001
35,35,589.7730307641898,0.0,2274.230066807828,46.949010992,255.01130669214353,0.0,1125.9334125873975,39.726086224,303.5123167640972,7.2229247679999995
36,36,1005.4180847169999,442.407983174,3045.1295077540003,2785.771643444,303.888853996,347.420122348,1409.029247527,506.045705545,326.793321514,1489.897832377
37,37,579.9328147440231,0.0,1514.7763858210535,174.92138919400963,160.65303366500595,68.2335158010042,586.4133431570192,106.68787339300545,187.7771942550052,0.0
38,38,493.198124097,9.671945955000002,1339.608620447,203.93118418800006,124.54173181600001,9.760544849,606.9577307920001,184.498693384,114.911033742,0.0
39,39,796.8993130340639,30.190075567999997,2501.0641813281845,155.859423503,324.5860186410285,0.0,1128.6654846200786,125.511384777,250.91336503301423,0.157963158
40,40,849.086351727,155.109628304,2538.6428505660006,255.72543859900003,237.91389697099996,10.074523324,1237.7395214360001,89.109999997,213.90308043200002,1.4312869739999998
41,41,2244.785509025,167.26068346600002,6190.4326110189995,427.35943212600006,682.235699436,10.76265952,2775.8605749860003,194.427501975,487.55082757200006,54.908587165
42,42,720.026221072,165.889831047,2036.1124239439998,9206.377957174,213.93409542099997,1196.335129674,909.1018635620001,7404.254654379,193.050243889,439.89834207399997
43,43,1204.4901116020014,46.345441689000005,4331.181040189004,360.147390466,662.2388140549999,0.0,1977.5529495330015,149.198835209,486.8991649990009,164.603113568
44,44,1082.9464260921281,53.81247405,4341.221612478607,1189.387912507,656.725228388128,0.0,1928.8129248012558,1030.077597332,672.7370331970961,105.49784112500001
45,45,606.2933617830972,24.138944430000002,3578.547666820559,3770.9413851549994,529.1149602470487,559.553252209,1945.1373474582915,2409.6013553319995,498.00199733212156,777.647833184
46,46,21.531622424000002,84.78853240700178,123.33327471199999,11659.683708568258,14.902696141,2161.8367904221163,68.0612962,2325.578409923018,18.837659947,7087.47997581612
47,47,933.431223212194,59.78056938203969,3343.1050859637585,150.91987434011614,500.779934332122,29.75406936603087,1582.432617232366,26.11089737001176,326.4613111870764,35.274338222033805
48,48,833.056445486,54.708881176,2230.637129276,206.789631811,277.417568902,0.0,915.8849552959999,152.080750635,204.278159592,0.0
49,49,857.111629024,16.781196383999998,2337.274809438,187.357075189,262.86100931900006,7.5151583650000005,1002.0272837750001,94.235499132,215.27488732,68.82522130800001
