No,State,StationID,Address,Latitude,Longitude,Total Annual Trips,Average Monthly Trips
1,TN,"1,297",100 Manufacturers Rd,35.063014,-85.310469,902,75
2,TN,"1,299",200 River St,35.06141,-85.306574,3021,252
3,TN,"1,301",301 Manufacturers Rd,35.063304,-85.315211,139,12
4,TN,"1,303",215 Broad St,35.053928,-85.310925,1295,108
5,TN,"1,305",Market St & E 14th St,35.036904,-85.307269,785,65
6,TN,"1,307",Market St & E 4th St,35.052701,-85.309483,733,61
7,TN,"1,309",Market St & W 12th St,35.042774,-85.309331,312,26
8,TN,"1,311",Market St & Cowart St,35.040771,-85.308394,436,36
9,TN,"1,313",Chestnut St & Riverfront Pkwy,35.056655,-85.310487,1294,108
10,TN,"1,315",Carter St & W 12th St,35.043367,-85.312762,628,52
11,TN,"1,317",Broad St & W 6th St,35.049429,-85.310399,384,32
12,TN,"1,319",100 Walnut St,35.055687,-85.307813,2398,200
13,TN,"1,321",High St & E 2nd St,35.054161,-85.305448,1023,85
14,TN,"1,323",Power Alley & Riverfront Pkwy,35.055582,-85.312797,1592,133
15,TN,"1,325",Market St & M.L. King Blvd,35.045603,-85.309207,401,33
16,TN,"1,327",M.L. King Blvd & Lindsay St,35.044973,-85.307015,237,20
17,TN,"1,329",McCallie Ave & Lindsay St,35.047319,-85.305834,102,9
18,TN,"1,331",E 5th St & Collins St,35.047862,-85.297186,41,3
19,TN,"1,333",800 E 8th St,35.043639,-85.297988,94,8
20,TN,"1,335",Oak St & University Greenway,35.045057,-85.296087,135,11
21,TN,"1,337",Oak St & Houston St,35.047574,-85.302739,87,7
22,TN,"1,363",Broad St & W 10th St,35.044458,-85.310458,412,34
23,TN,"1,341",E Main St & Rossville Ave,35.035217,-85.305187,481,40
24,TN,"1,343",Broad St & W 4th St,35.05251,-85.310874,1040,87
25,TN,"1,345",Broad St & W 8th St,35.047205,-85.310675,655,55
26,TN,"1,347",W Main St & Cowart St,35.037381,-85.310411,372,31
27,TN,"1,349",1216 Broad St,35.040549,-85.309554,461,38
28,TN,"1,351",1826 Carter St,35.037433,-85.315093,188,16
29,TN,"1,353",500 Georgia Ave,35.050771,-85.305346,151,13
30,TN,"1,369",Douglas St & Vine St,35.048285,-85.300237,255,21
31,TN,"1,373",4310 Amnicola Hwy,35.096003,-85.254503,1522,127
32,TN,"1,420",495 Riverfront Pkwy,35.053801,-85.32021,617,51
33,OH,1,Bicentennial Park,39.955864,-83.003106,5643,470
34,OH,2,City Hall,39.963524,-83.002854,1650,138
35,OH,3,Front St & Beck St,39.950124,-83.000235,843,70
36,OH,4,Scioto Audubon Center,39.945895,-83.00907,2050,171
37,OH,5,Dorrian Commons - Mound St,39.954717,-82.998879,589,49
38,OH,6,Schiller Park - Stewart Ave,39.942026,-82.995019,929,77
39,OH,7,Neil Ave & Nationwide Blvd,39.968098,-83.008763,1833,153
40,OH,8,Bank St & Frankfort St,39.946568,-83.000322,361,30
41,OH,9,Columbus Commons - Rich St,39.957591,-82.998002,1288,107
42,OH,10,3rd St & Sycamore St,39.949348,-82.995285,1173,98
43,OH,11,Nationwide Arena - Front St,39.969126,-83.00397,1399,117
44,OH,12,Convention Center,39.970512,-83.002354,1495,125
45,OH,13,High St & Broad St,39.962002,-83.001081,2167,181
46,OH,14,Livingston Park,39.951464,-82.979178,328,27
47,OH,15,Grant Ave & Main St,39.957493,-82.990057,416,35
48,OH,16,Sensenbrenner Park,39.968596,-83.001618,1379,115
49,OH,17,High St & Spring St,39.965866,-83.001502,1126,94
50,OH,18,3rd St & Gay St,39.963964,-82.998665,1808,151
51,OH,19,COSI,39.961234,-83.006558,1983,165
52,OH,20,North Market,39.972193,-83.00356,2003,167
53,OH,21,Kilbourne St & Vine St,39.972025,-83.007284,509,42
54,OH,22,Neil Ave & Buttles Ave,39.977406,-83.011549,1483,124
55,OH,23,High St & Warren,39.977963,-83.003605,1691,141
56,OH,24,High St & 2nd Ave,39.98271,-83.003259,1264,105
57,OH,25,Cleveland Ave & Mt Vernon Ave,39.969188,-82.990716,500,42
58,OH,26,Columbus College of Art & Design,39.965128,-82.990471,560,47
59,OH,27,Columbus Museum of Art,39.963795,-82.988346,289,24
60,OH,28,Library - Main Branch,39.961512,-82.990196,536,45
61,OH,29,Topiary Park - Town St,39.960245,-82.986968,1298,108
62,OH,30,Parsons Ave & Oak St,39.963218,-82.981326,609,51
63,OH,45,Lucas St & Town St,39.957433,-83.01136,1173,98
64,OH,46,Champion Ave & Main St,39.957751,-82.969205,96,8
65,OH,47,4th St & 1st Ave - Jeffrey Park,39.980567,-82.998133,868,72
66,OH,48,High St & 4th Ave,39.985204,-83.00544,1172,98
67,OH,49,Weinland Park - 6th Ave,39.988541,-82.999571,590,49
68,OH,50,High St & King Ave,39.990144,-83.005912,960,80
69,OH,51,High St & 11th Ave,39.994813,-83.007113,1063,89
70,OH,52,High St & 17th Ave,40.001397,-83.008476,782,65
71,OH,53,Neil Ave & 11th Ave,39.99543,-83.014548,1011,84
72,OH,54,Neil Ave & King Ave,39.990309,-83.013626,1036,86
73,OH,55,Michigan Ave & 3rd Ave,39.984053,-83.01692,986,82
74,OH,56,4th St & Rich St,39.957724,-82.995405,776,65
75,OH,59,Jaeger St & Whittier St,39.944601,-82.989581,610,51
76,OH,60,Lane Ave at Olentangy Trail,40.006525,-83.020453,796,66
77,OH,61,Thurman Ave & Bruck St,39.939637,-82.987619,525,44
78,OH,62,Market District & 3rd Ave,39.985821,-83.0272,559,47
79,CO,,11th & Pearl,40.017535,-105.281234,3887,324
80,CO,,13th & Arapahoe,40.0146,-105.27778,4011,334
81,CO,,13th & College,40.007386,-105.276681,1392,116
82,CO,,13th & Spruce,40.01909,-105.278898,4307,359
83,CO,,14th & Canyon,40.01663,-105.27646,3651,304
84,CO,,15th & Pearl,40.018721,-105.27584,5325,444
85,CO,,19th @ Boulder Creek,40.01177,-105.27006,3687,307
86,CO,,20th & Pearl,40.019875,-105.269518,3131,261
87,CO,,21st & Arapahoe,40.014528,-105.267262,4255,355
88,CO,,26th @ Pearl,40.0216,-105.25984,3432,286
89,CO,,28th & Boulder Creek,40.010654,-105.258941,3396,283
90,CO,,28th & Mapleton,40.0262,-105.25856,4555,380
91,CO,,29th & Pearl,40.022889,-105.256461,3056,255
92,CO,,30th & Diagonal Highway,40.03751,-105.25351,1061,88
93,CO,,30th & Glenwood,40.033873,-105.253931,2252,188
94,CO,,31st & Pearl,40.02308,-105.25175,2813,234
95,CO,,35th & Colorado,40.007666,-105.247925,2457,205
96,CO,,38th & Arapahoe,40.015078,-105.246967,4128,344
97,CO,,48th & Arapahoe,40.0149,-105.23558,3525,294
98,CO,,6th & Canyon,40.01506,-105.28729,2109,176
99,CO,,9th & Pearl,40.01688,-105.28396,2438,203
100,CO,,Broadway & Alpine,40.02543,-105.28144,2684,224
101,CO,,Broadway & Baseline,40.000046,-105.261682,2471,206
102,CO,,Broadway & Euclid,40.00638,-105.2724,4110,343
103,CO,,Broadway & Iris,40.037422,-105.28064,947,79
104,CO,,Broadway & University,40.010598,-105.276635,2105,175
105,CO,,Folsom & Colorado,40.008107,-105.263846,5187,432
106,CO,,Folsom & Pearl,40.021441,-105.263643,3737,311
107,CO,,Gunbarrel North,40.07488,-105.20226,277,23
108,CO,,Library @ Arapahoe,40.01377,-105.28087,2130,178
109,CO,,Municipal Building,40.01508,-105.27959,2854,238
110,CO,,North Boulder Recreation Center,40.032004,-105.28022,1101,92
111,CO,,Settlers' Park,40.01436,-105.29497,2493,208
112,CO,,The Village,40.01491,-105.26061,3644,304
113,CO,,Twenty Ninth Street North,40.018809,-105.255959,3340,278
114,CO,,Twenty Ninth Street South,40.0161,-105.25807,1935,161
115,CO,,UCAR Center Green,40.03154,-105.24611,1667,139
116,CO,,UCAR Mitchell Lane,40.03643,-105.24226,2363,197
117,CO,,Williams Village,39.99915,-105.25264,3348,279
