Checkout Station,Trip Duration (Minutes)
11th & Pearl,102100
13th & Arapahoe,138094
13th & College,44239
13th & Spruce,112312
14th & Canyon,132488
15th & Pearl,170909
19th @ Boulder Creek,245560
20th & Pearl,70080
21st & Arapahoe,131933
26th @ Pearl,68078
27th Way & Broadway,7036
28th & Boulder Creek,174549
28th & Mapleton,87782
29th & Pearl,118596
30th & Diagonal Highway,34443
30th & Glenwood,116119
30th & Marine,124271
31st & Pearl,65395
35th & Colorado,56231
38th & Arapahoe,520743
48th & Arapahoe,146445
6th & Canyon,47768
9th & Pearl,62313
Boulder Junction,46601
Broadway & Alpine,65358
Broadway & Baseline,54941
Broadway & Euclid,137748
Broadway & Iris,18874
Broadway & University,53020
Folsom & Colorado,94678
Folsom & Pearl,77233
Gunbarrel North,31665
Library @ Arapahoe,131351
Maintenance,129190
Municipal Building,118286
North Boulder Recreation Center,30333
Pearl Place,35243
Settlers' Park,63564
Table Mesa Park-n-Ride,38307
The Village,101234
Twenty Ninth Street North,125967
Twenty Ninth Street South,45674
UCAR Center Green,70238
UCAR Mitchell Lane,74455
Williams Village,97129
