,Checkout Station
15th & Pearl,5325
Folsom & Colorado,5187
28th & Mapleton,4555
13th & Spruce,4307
21st & Arapahoe,4255
38th & Arapahoe,4128
Broadway & Euclid,4110
13th & Arapahoe,4011
11th & Pearl,3887
Folsom & Pearl,3737
19th @ Boulder Creek,3687
14th & Canyon,3651
The Village,3644
48th & Arapahoe,3525
26th @ Pearl,3432
28th & Boulder Creek,3396
Williams Village,3348
Twenty Ninth Street North,3340
30th & Marine,3211
20th & Pearl,3131
29th & Pearl,3056
Municipal Building,2854
31st & Pearl,2813
Broadway & Alpine,2684
Settlers' Park,2493
Broadway & Baseline,2471
35th & Colorado,2457
9th & Pearl,2438
UCAR Mitchell Lane,2363
30th & Glenwood,2252
Library @ Arapahoe,2130
6th & Canyon,2109
Broadway & University,2105
Twenty Ninth Street South,1935
UCAR Center Green,1667
Boulder Junction,1438
13th & College,1392
Pearl Place,1274
North Boulder Recreation Center,1101
30th & Diagonal Highway,1061
Broadway & Iris,947
Table Mesa Park-n-Ride,693
27th Way & Broadway,306
Gunbarrel North,277
Maintenance,148
