Station ID,Latitude,Longitude,Station Name
1,39.955864,-83.003106,Bicentennial Park
2,39.963524,-83.002854,City Hall
3,39.950124,-83.000235,Front St & Beck St
4,39.945895,-83.00907,Scioto Audubon Center
5,39.954717,-82.998879,Dorrian Commons - Mound St
6,39.942026,-82.995019,Schiller Park - Stewart Ave
7,39.968098,-83.008763,Neil Ave & Nationwide Blvd
8,39.946568,-83.000322,Bank St & Frankfort St
9,39.957591,-82.998002,Columbus Commons - Rich St
10,39.949348,-82.995285,3rd St & Sycamore St
11,39.969126,-83.00397,Nationwide Arena - Front St
12,39.970512,-83.002354,Convention Center
13,39.962002,-83.001081,High St & Broad St
14,39.951464,-82.979178,Livingston Park
15,39.957493,-82.990057,Grant Ave & Main St
16,39.968596,-83.001618,Sensenbrenner Park
17,39.965866,-83.001502,High St & Spring St
18,39.963964,-82.998665,3rd St & Gay St
19,39.961234,-83.006558,COSI
20,39.972193,-83.00356,North Market
21,39.972025,-83.007284,Kilbourne St & Vine St
22,39.977406,-83.011549,Neil Ave & Buttles Ave
23,39.977963,-83.003605,High St & Warren
24,39.98271,-83.003259,High St & 2nd Ave
25,39.969188,-82.990716,Cleveland Ave & Mt Vernon Ave
26,39.965128,-82.990471,Columbus College of Art & Design
27,39.963795,-82.988346,Columbus Museum of Art
28,39.961512,-82.990196,Library - Main Branch
29,39.960245,-82.986968,Topiary Park - Town St
30,39.963218,-82.981326,Parsons Ave & Oak St
45,39.957433,-83.01136,Lucas St & Town St
46,39.957751,-82.969205,Champion Ave & Main St
47,39.980567,-82.998133,4th St & 1st Ave - Jeffrey Park
48,39.985204,-83.00544,High St & 4th Ave
49,39.988541,-82.999571,Weinland Park - 6th Ave
50,39.990144,-83.005912,High St & King Ave
51,39.994813,-83.007113,High St & 11th Ave
52,40.001397,-83.008476,High St & 17th Ave
53,39.99543,-83.014548,Neil Ave & 11th Ave
54,39.990309,-83.013626,Neil Ave & King Ave
55,39.984053,-83.01692,Michigan Ave & 3rd Ave
56,39.957724,-82.995405,4th St & Rich St
59,39.944601,-82.989581,Jaeger St & Whittier St
60,40.006525,-83.020453,Lane Ave at Olentangy Trail
61,39.939637,-82.987619,Thurman Ave & Bruck St
62,39.985821,-83.0272,Market District & 3rd Ave
