,GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01
0,Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over
1,1400000US08001007801,08001007801,"Census Tract 78.01, Adams County, Colorado",2771,62.7,6.7
2,1400000US08001007802,08001007802,"Census Tract 78.02, Adams County, Colorado",2876,49.0,24.6
3,1400000US08001007900,08001007900,"Census Tract 79, Adams County, Colorado",4264,60.5,12.1
4,1400000US08001008000,08001008000,"Census Tract 80, Adams County, Colorado",4709,58.2,10.8
5,1400000US08001008100,08001008100,"Census Tract 81, Adams County, Colorado",1215,44.0,5.1
6,1400000US08001008200,08001008200,"Census Tract 82, Adams County, Colorado",3782,51.9,8.7
7,1400000US08001008308,08001008308,"Census Tract 83.08, Adams County, Colorado",3933,58.8,11.4
8,1400000US08001008309,08001008309,"Census Tract 83.09, Adams County, Colorado",2527,56.9,13.8
9,1400000US08001008353,08001008353,"Census Tract 83.53, Adams County, Colorado",4702,70.9,7.8
10,1400000US08001008401,08001008401,"Census Tract 84.01, Adams County, Colorado",3279,65.8,8.4
11,1400000US08001008402,08001008402,"Census Tract 84.02, Adams County, Colorado",3487,65.6,6.2
12,1400000US08001008505,08001008505,"Census Tract 85.05, Adams County, Colorado",5530,62.7,7.0
13,1400000US08001008506,08001008506,"Census Tract 85.06, Adams County, Colorado",4892,60.1,10.4
14,1400000US08001008507,08001008507,"Census Tract 85.07, Adams County, Colorado",5631,65.7,10.1
15,1400000US08001008508,08001008508,"Census Tract 85.08, Adams County, Colorado",4229,69.9,7.1
16,1400000US08001008523,08001008523,"Census Tract 85.23, Adams County, Colorado",5525,70.9,4.6
17,1400000US08001008524,08001008524,"Census Tract 85.24, Adams County, Colorado",5631,76.3,7.0
18,1400000US08001008526,08001008526,"Census Tract 85.26, Adams County, Colorado",5453,71.7,3.1
19,1400000US08001008529,08001008529,"Census Tract 85.29, Adams County, Colorado",5896,69.9,9.0
20,1400000US08001008533,08001008533,"Census Tract 85.33, Adams County, Colorado",5945,75.7,6.1
21,1400000US08001008534,08001008534,"Census Tract 85.34, Adams County, Colorado",3592,73.6,5.3
