GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,EMP,UNEMP
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Employment/Population Ratio; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,No of Employment,No of Unemployment
1400000US08001007801,8001007801,"Census Tract 78.01, Adams County, Colorado",2771,62.7,6.7,1737,4
1400000US08001007802,8001007802,"Census Tract 78.02, Adams County, Colorado",2876,49,24.6,1409,12
1400000US08001007900,8001007900,"Census Tract 79, Adams County, Colorado",4264,60.5,12.1,2580,7
1400000US08001008000,8001008000,"Census Tract 80, Adams County, Colorado",4709,58.2,10.8,2741,6
1400000US08001008100,8001008100,"Census Tract 81, Adams County, Colorado",1215,44,5.1,535,2
1400000US08001008200,8001008200,"Census Tract 82, Adams County, Colorado",3782,51.9,8.7,1963,5
1400000US08001008308,8001008308,"Census Tract 83.08, Adams County, Colorado",3933,58.8,11.4,2313,7
1400000US08001008309,8001008309,"Census Tract 83.09, Adams County, Colorado",2527,56.9,13.8,1438,8
1400000US08001008353,8001008353,"Census Tract 83.53, Adams County, Colorado",4702,70.9,7.8,3334,6
1400000US08001008401,8001008401,"Census Tract 84.01, Adams County, Colorado",3279,65.8,8.4,2158,6
1400000US08001008402,8001008402,"Census Tract 84.02, Adams County, Colorado",3487,65.6,6.2,2287,4
1400000US08001008505,8001008505,"Census Tract 85.05, Adams County, Colorado",5530,62.7,7,3467,4
1400000US08001008506,8001008506,"Census Tract 85.06, Adams County, Colorado",4892,60.1,10.4,2940,6
1400000US08001008507,8001008507,"Census Tract 85.07, Adams County, Colorado",5631,65.7,10.1,3700,7
1400000US08001008508,8001008508,"Census Tract 85.08, Adams County, Colorado",4229,69.9,7.1,2956,5
1400000US08001008523,8001008523,"Census Tract 85.23, Adams County, Colorado",5525,70.9,4.6,3917,3
1400000US08001008524,8001008524,"Census Tract 85.24, Adams County, Colorado",5631,76.3,7,4296,5
1400000US08001008526,8001008526,"Census Tract 85.26, Adams County, Colorado",5453,71.7,3.1,3910,2
1400000US08001008529,8001008529,"Census Tract 85.29, Adams County, Colorado",5896,69.9,9,4121,6
1400000US08001008533,8001008533,"Census Tract 85.33, Adams County, Colorado",5945,75.7,6.1,4500,5
1400000US08001008534,8001008534,"Census Tract 85.34, Adams County, Colorado",3592,73.6,5.3,2644,4
1400000US08001008535,8001008535,"Census Tract 85.35, Adams County, Colorado",2410,78.9,1.6,1901,1
1400000US08001008536,8001008536,"Census Tract 85.36, Adams County, Colorado",1954,78.8,1.9,1540,1
1400000US08001008537,8001008537,"Census Tract 85.37, Adams County, Colorado",4298,70.8,6.5,3043,5
1400000US08001008538,8001008538,"Census Tract 85.38, Adams County, Colorado",4272,72.4,1.8,3093,1
1400000US08001008539,8001008539,"Census Tract 85.39, Adams County, Colorado",5992,79.9,4.2,4788,3
1400000US08001008540,8001008540,"Census Tract 85.40, Adams County, Colorado",5021,78.7,2.5,3952,2
1400000US08001008541,8001008541,"Census Tract 85.41, Adams County, Colorado",3806,64.7,4.8,2462,3
1400000US08001008542,8001008542,"Census Tract 85.42, Adams County, Colorado",5066,73,6.3,3698,5
1400000US08001008543,8001008543,"Census Tract 85.43, Adams County, Colorado",6147,63,5.6,3873,4
1400000US08001008544,8001008544,"Census Tract 85.44, Adams County, Colorado",3142,72.9,4.7,2291,3
1400000US08001008545,8001008545,"Census Tract 85.45, Adams County, Colorado",5563,67.1,4.5,3733,3
1400000US08001008546,8001008546,"Census Tract 85.46, Adams County, Colorado",2378,70.9,10.4,1686,7
1400000US08001008547,8001008547,"Census Tract 85.47, Adams County, Colorado",3077,64,8.3,1969,5
1400000US08001008548,8001008548,"Census Tract 85.48, Adams County, Colorado",1123,80.2,1.5,901,1
1400000US08001008549,8001008549,"Census Tract 85.49, Adams County, Colorado",3161,75.3,7.9,2380,6
1400000US08001008550,8001008550,"Census Tract 85.50, Adams County, Colorado",5873,66.1,4.4,3882,3
1400000US08001008551,8001008551,"Census Tract 85.51, Adams County, Colorado",1036,68.9,0.4,714,0
1400000US08001008603,8001008603,"Census Tract 86.03, Adams County, Colorado",1637,61.9,11.6,1013,7
1400000US08001008604,8001008604,"Census Tract 86.04, Adams County, Colorado",4194,41.6,7,1745,3
1400000US08001008605,8001008605,"Census Tract 86.05, Adams County, Colorado",2793,63,3.4,1760,2
1400000US08001008606,8001008606,"Census Tract 86.06, Adams County, Colorado",4976,64.1,6.3,3190,4
1400000US08001008705,8001008705,"Census Tract 87.05, Adams County, Colorado",3936,47.2,7,1858,3
1400000US08001008706,8001008706,"Census Tract 87.06, Adams County, Colorado",3945,56.7,7.1,2237,4
1400000US08001008709,8001008709,"Census Tract 87.09, Adams County, Colorado",5908,49.7,20,2936,10
1400000US08001008801,8001008801,"Census Tract 88.01, Adams County, Colorado",3850,57.7,10.9,2221,6
1400000US08001008802,8001008802,"Census Tract 88.02, Adams County, Colorado",3218,54.8,12.1,1763,7
1400000US08001008901,8001008901,"Census Tract 89.01, Adams County, Colorado",1729,55.8,8.2,965,5
1400000US08001009001,8001009001,"Census Tract 90.01, Adams County, Colorado",3529,56.9,8.2,2008,5
1400000US08001009002,8001009002,"Census Tract 90.02, Adams County, Colorado",7080,63.6,7.8,4503,5
1400000US08001009101,8001009101,"Census Tract 91.01, Adams County, Colorado",3467,65.1,12.5,2257,8
1400000US08001009103,8001009103,"Census Tract 91.03, Adams County, Colorado",2399,65,4.5,1559,3
1400000US08001009104,8001009104,"Census Tract 91.04, Adams County, Colorado",4150,71.4,7.3,2963,5
1400000US08001009202,8001009202,"Census Tract 92.02, Adams County, Colorado",3190,64.6,12,2061,8
1400000US08001009203,8001009203,"Census Tract 92.03, Adams County, Colorado",2934,71.8,8.7,2107,6
1400000US08001009204,8001009204,"Census Tract 92.04, Adams County, Colorado",5420,75.7,3.2,4103,2
1400000US08001009206,8001009206,"Census Tract 92.06, Adams County, Colorado",1621,69.8,6.1,1131,4
1400000US08001009207,8001009207,"Census Tract 92.07, Adams County, Colorado",3363,66.5,6.6,2236,4
1400000US08001009304,8001009304,"Census Tract 93.04, Adams County, Colorado",5063,71.5,6,3620,4
1400000US08001009306,8001009306,"Census Tract 93.06, Adams County, Colorado",3037,59.2,8.9,1798,5
1400000US08001009307,8001009307,"Census Tract 93.07, Adams County, Colorado",3146,66.6,5.2,2095,3
1400000US08001009308,8001009308,"Census Tract 93.08, Adams County, Colorado",3465,64.4,10.1,2231,7
1400000US08001009309,8001009309,"Census Tract 93.09, Adams County, Colorado",2937,62.8,10,1844,6
1400000US08001009310,8001009310,"Census Tract 93.10, Adams County, Colorado",4428,62.2,11.6,2754,7
1400000US08001009316,8001009316,"Census Tract 93.16, Adams County, Colorado",5104,57.7,10.6,2945,6
1400000US08001009318,8001009318,"Census Tract 93.18, Adams County, Colorado",4345,65.3,9.2,2837,6
1400000US08001009319,8001009319,"Census Tract 93.19, Adams County, Colorado",1872,62.9,6.8,1177,4
1400000US08001009320,8001009320,"Census Tract 93.20, Adams County, Colorado",2081,67.7,12.9,1409,9
1400000US08001009321,8001009321,"Census Tract 93.21, Adams County, Colorado",2864,65.4,3.1,1873,2
1400000US08001009322,8001009322,"Census Tract 93.22, Adams County, Colorado",3110,59.4,11.4,1847,7
1400000US08001009323,8001009323,"Census Tract 93.23, Adams County, Colorado",3037,67.1,9.4,2038,6
1400000US08001009325,8001009325,"Census Tract 93.25, Adams County, Colorado",4314,65,10.6,2804,7
1400000US08001009326,8001009326,"Census Tract 93.26, Adams County, Colorado",2190,68.9,4.6,1509,3
1400000US08001009327,8001009327,"Census Tract 93.27, Adams County, Colorado",3182,64.9,10.2,2065,7
1400000US08001009401,8001009401,"Census Tract 94.01, Adams County, Colorado",4133,57.5,14.4,2376,8
1400000US08001009406,8001009406,"Census Tract 94.06, Adams County, Colorado",3643,64.8,6.6,2361,4
1400000US08001009407,8001009407,"Census Tract 94.07, Adams County, Colorado",4438,64.3,14.1,2854,9
1400000US08001009408,8001009408,"Census Tract 94.08, Adams County, Colorado",3281,77,2.3,2526,2
1400000US08001009409,8001009409,"Census Tract 94.09, Adams County, Colorado",4466,66,2.7,2948,2
1400000US08001009410,8001009410,"Census Tract 94.10, Adams County, Colorado",2553,58.2,5.2,1486,3
1400000US08001009411,8001009411,"Census Tract 94.11, Adams County, Colorado",2489,69.3,6.5,1725,5
1400000US08001009501,8001009501,"Census Tract 95.01, Adams County, Colorado",2283,68.1,6.1,1555,4
1400000US08001009502,8001009502,"Census Tract 95.02, Adams County, Colorado",3599,59.9,10.5,2156,6
1400000US08001009553,8001009553,"Census Tract 95.53, Adams County, Colorado",2378,62,9.5,1474,6
1400000US08001009603,8001009603,"Census Tract 96.03, Adams County, Colorado",4378,64.4,9.1,2819,6
1400000US08001009604,8001009604,"Census Tract 96.04, Adams County, Colorado",3670,55.1,16,2022,9
1400000US08001009606,8001009606,"Census Tract 96.06, Adams County, Colorado",2178,60.1,9.4,1309,6
1400000US08001009607,8001009607,"Census Tract 96.07, Adams County, Colorado",4084,58.3,13.8,2381,8
1400000US08001009608,8001009608,"Census Tract 96.08, Adams County, Colorado",2716,69.5,8.1,1888,6
1400000US08001009751,8001009751,"Census Tract 97.51, Adams County, Colorado",2961,64.3,10.2,1904,7
1400000US08001009752,8001009752,"Census Tract 97.52, Adams County, Colorado",2379,58.9,9.6,1401,6
1400000US08001015000,8001015000,"Census Tract 150, Adams County, Colorado",2211,49.5,15.7,1094,8
1400000US08001060000,8001060000,"Census Tract 600, Adams County, Colorado",3635,76.8,5.9,2792,5
1400000US08001060100,8001060100,"Census Tract 601, Adams County, Colorado",5242,62.5,7.4,3276,5
1400000US08001060200,8001060200,"Census Tract 602, Adams County, Colorado",2829,74.8,7.4,2116,6
1400000US08001061200,8001061200,"Census Tract 612, Adams County, Colorado",1165,81.5,6.5,949,5
1400000US08001988700,8001988700,"Census Tract 9887, Adams County, Colorado",0,-,-,#VALUE!,#VALUE!
1400000US08003960000,8003960000,"Census Tract 9600, Alamosa County, Colorado",1239,58.8,4.2,729,2
