State,City,Month,AVG_RAIN,AVG_TEMP,,,,,,,,,,,,,,
TN,nash,1,4.2,36.1,,,,,,,,,,,,,,
TN,nash,2,4,40.3,,,,,,,,,,,,,,
TN,nash,3,5,50.2,,,,,,,,,,,,,,
TN,nash,4,4.1,59.2,,,,,,,,,,,,,,
TN,nash,5,4.6,67.6,,,,,,,,,,,,,,
TN,nash,6,3.9,75.6,,,,,,,,,,,,,,
TN,nash,7,3.9,79.2,,,,,,,,,,,,,,
TN,nash,8,3.4,78.1,,,,,,,,,,,,,,
TN,nash,9,3.5,71.8,,,,,,,,,,,,,,
TN,nash,10,2.6,60.3,,,,,,,,,,,,,,
TN,nash,11,4,50,,,,,,,,,,,,,,
TN,nash,12,4.4,40.5,,,,,,,,,,,,,,
TN,chat ,1,5.2,37.4,,,,,,,,,,,,,,
TN,chat ,2,5.1,41.7,,,,,,,,,,,,,,
TN,chat ,3,6,50.4,,,,,,,,,,,,,,
TN,chat ,4,4.3,59,,,,,,,,,,,,,,
TN,chat ,5,4,66.7,,,,,,,,,,,,,,
TN,chat ,6,3.7,75.2,,,,,,,,,,,,,,
TN,chat ,7,4.8,78.6,,,,,,,,,,,,,,
TN,chat ,8,3.5,77.9,,,,,,,,,,,,,,
TN,chat ,9,4.1,72.3,,,,,,,,,,,,,,
TN,chat ,10,3.2,60.3,,,,,,,,,,,,,,
TN,chat ,11,4.5,50.4,,,,,,,,,,,,,,
TN,chat ,12,5.1,41,,,,,,,,,,,,,,
OH,colum,1,2.8,27.3,,,,,,,,,,,,,,
OH,colum,2,2.1,30.9,,,,,,,,,,,,,,
OH,colum,3,3.4,41.9,,,,,,,,,,,,,,
OH,colum,4,3.8,52,,,,,,,,,,,,,,
OH,colum,5,4.1,62.1,,,,,,,,,,,,,,
OH,colum,6,3.9,70.7,,,,,,,,,,,,,,
OH,colum,7,3.9,74.3,,,,,,,,,,,,,,
OH,colum,8,3.6,72.3,,,,,,,,,,,,,,
OH,colum,9,2.7,66.2,,,,,,,,,,,,,,
OH,colum,10,2.2,54.7,,,,,,,,,,,,,,
OH,colum,11,2.8,43.7,,,,,,,,,,,,,,
OH,colum,12,2.7,32.5,,,,,,,,,,,,,,
CO,bould,1,0.7,32.5,,,,,,,,,,,,,,
CO,bould,2,0.8,35.8,,,,,,,,,,,,,,
CO,bould,3,1.7,41,,,,,,,,,,,,,,
CO,bould,4,2.5,49.1,,,,,,,,,,,,,,
CO,bould,5,3.1,57.9,,,,,,,,,,,,,,
CO,bould,6,2.1,67.1,,,,,,,,,,,,,,
CO,bould,7,1.6,72.9,,,,,,,,,,,,,,
CO,bould,8,1.5,70.9,,,,,,,,,,,,,,
CO,bould,9,1.5,62.2,,,,,,,,,,,,,,
CO,bould,10,1.2,52.9,,,,,,,,,,,,,,
CO,bould,11,1.1,40.6,,,,,,,,,,,,,,
CO,bould,12,0.7,33.4,,,,,,,,,,,,,,
KY,lex,1,3.6,30.9,,,,,,,,,,,,,,
KY,lex,2,3.3,34.3,,,,,,,,,,,,,,
KY,lex,3,4.4,45.1,,,,,,,,,,,,,,
KY,lex,4,3.8,54.7,,,,,,,,,,,,,,
KY,lex,5,4.5,63.9,,,,,,,,,,,,,,
KY,lex,6,4.1,72.1,,,,,,,,,,,,,,
KY,lex,7,4.7,75.7,,,,,,,,,,,,,,
KY,lex,8,3.8,74.7,,,,,,,,,,,,,,
KY,lex,9,3.1,68.2,,,,,,,,,,,,,,
KY,lex,10,2.5,56.7,,,,,,,,,,,,,,
KY,lex,11,3.5,45.9,,,,,,,,,,,,,,
KY,lex,12,3.8,35.8,,,,,,,,,,,,,,
MN,minn,1,0.8,11.8,,,,,,,,,,,,,,
MN,minn,2,0.9,18,,,,,,,,,,,,,,
MN,minn,3,1.8,31.1,,,,,,,,,,,,,,
MN,minn,4,2.3,46.4,,,,,,,,,,,,,,
MN,minn,5,3.2,58.5,,,,,,,,,,,,,,
MN,minn,6,4.1,68.2,,,,,,,,,,,,,,
MN,minn,7,3.8,73.6,,,,,,,,,,,,,,
MN,minn,8,3.7,70.3,,,,,,,,,,,,,,
MN,minn,9,2.7,60.4,,,,,,,,,,,,,,
MN,minn,10,1.9,48.7,,,,,,,,,,,,,,
MN,minn,11,1.4,33.1,,,,,,,,,,,,,,
MN,minn,12,1,18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
